Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
COOMES DR|DEAD END|WAR ADMIRAL DR,COOMES DR,WAR ADMIRAL DR,DEAD END,['2019-09-18'],Collector,F,D,F,2022.0,2019.0,2017.0,1783,1,
COOMES DR|PASQUARELLA DR|SEATTLE SLEW DR,COOMES DR,SEATTLE SLEW DR,PASQUARELLA DR,['2019-09-18'],Collector,D,C,C,2022.0,2019.0,2017.0,1783,1,
COOMES DR|PASQUARELLA DR|WAR ADMIRAL DR,COOMES DR,PASQUARELLA DR,WAR ADMIRAL DR,['2019-09-18'],Collector,D,D,C,2022.0,2019.0,2017.0,1783,1,
COOMES DR|SEATTLE SLEW DR|THOME VALLEY DR,COOMES DR,THOME VALLEY DR,SEATTLE SLEW DR,['2019-09-18'],Collector,C,C,C,2022.0,2019.0,2017.0,1783,1,
COOPER HILL|MEADOWS DR S|PARKFIELD DR,COOPER HILL,PARKFIELD DR,MEADOWS DR S,['2017-07-10'],Residential,B,B,B,2020.0,2018.0,2018.0,2583,1,
COOPER LN|7300|7409,COOPER LN,7300,7409,['2017-10-09'],Collector,C,C,,2019.0,2017.0,,2492,1,
COOPER LN|7410|7819,COOPER LN,7410,7819,['2017-10-09'],Collector,C,C,,2019.0,2017.0,,2492,1,
COOPER LN|MATTHEWS LN|PRINCE VALIANT DR,COOPER LN,MATTHEWS LN,PRINCE VALIANT DR,['2017-10-09'],Collector,C,C,C,2022.0,2019.0,2017.0,2492,1,
COPPER BASIN CV|CUL DE SAC|GENESEE TRL,COPPER BASIN CV,GENESEE TRL,CUL DE SAC,['2018-03-12'],Residential,C,C,C,2020.0,2018.0,2018.0,2338,1,
COPPER RIDGE CV|CUL DE SAC|KELBERG TRL,COPPER RIDGE CV,KELBERG TRL,CUL DE SAC,['2018-03-21'],Residential,D,C,D,2022.0,2019.0,2017.0,2329,1,
COPPERFIELD DR|BATH WAY|RINGWOOD RD,COPPERFIELD DR,RINGWOOD RD,BATH WAY,['2017-09-11'],Collector,A,B,B,2020.0,2018.0,2018.0,2520,1,
COPPERFIELD DR|BATH WAY|UTTIMER LN,COPPERFIELD DR,BATH WAY,UTTIMER LN,['2017-09-11'],Collector,B,D,D,2020.0,2018.0,2018.0,2520,1,
COPPERFIELD DR|FALLEN TOWER LN|UTTIMER LN,COPPERFIELD DR,UTTIMER LN,FALLEN TOWER LN,['2017-09-11'],Collector,B,F,F,2020.0,2018.0,2018.0,2520,1,
COPPERFIELD DR|FALLEN TOWER LN|WETHERSBY WAY,COPPERFIELD DR,FALLEN TOWER LN,WETHERSBY WAY,['2017-09-11'],Collector,B,C,C,2020.0,2018.0,2018.0,2520,1,
COPPERFIELD DR|MARKHAM LN|RINGWOOD RD,COPPERFIELD DR,MARKHAM LN,RINGWOOD RD,['2017-09-11'],Collector,A,D,D,2020.0,2018.0,2018.0,2520,1,
COPPERFIELD DR|MARKHAM LN|YAGER LN E,COPPERFIELD DR,YAGER LN E,MARKHAM LN,['2017-09-11'],Collector,A,B,B,2020.0,2018.0,2018.0,2520,1,
COPPERLILY CV|6401|YAUPON DR,COPPERLILY CV,6401,YAUPON DR,['2018-11-27'],Residential,D,A,A,2020.0,2018.0,2018.0,2078,1,
CORAL RIDGE CIR|2400|PEBBLE BEACH DR,CORAL RIDGE CIR,2400,PEBBLE BEACH DR,['2018-05-01'],Residential,C,C,C,2022.0,2019.0,2017.0,2288,1,
CORDOBA DR|PERLITA DR|SENDERO HILLS PKWY,CORDOBA DR,SENDERO HILLS PKWY,PERLITA DR,['2016-10-19'],Residential,C,C,C,2021.0,2018.0,2018.0,2847,1,
CORDOBA DR|PERLITA DR|TOSCANA AVE,CORDOBA DR,PERLITA DR,TOSCANA AVE,['2016-10-19'],Residential,C,B,B,2021.0,2018.0,2018.0,2847,1,
CORNELL ST|1918|CHICON ST,CORNELL ST,CHICON ST,1918,['2018-01-12'],Residential,F,F,,2018.0,2018.0,,2397,1,
CORNELL ST|2000|POQUITO ST,CORNELL ST,2000,POQUITO ST,['2018-07-25'],Residential,B,B,,2018.0,2018.0,,2203,1,
CORNFLOWER DR|ALLAMANDA DR|STANDING CYPRESS DR,CORNFLOWER DR,STANDING CYPRESS DR,ALLAMANDA DR,['2018-03-26'],Residential,B,C,C,2022.0,2019.0,2017.0,2324,1,
CORNFLOWER DR|ALLAMANDA DR|TUBEROSE TER,CORNFLOWER DR,ALLAMANDA DR,TUBEROSE TER,['2018-03-26'],Residential,A,B,A,2022.0,2019.0,2017.0,2324,1,
CORNISH CIR|2801|WEST GATE BLVD,CORNISH CIR,2801,WEST GATE BLVD,['2018-10-03'],Residential,C,C,C,2022.0,2019.0,2017.0,2133,1,
CORNISH HEN CV|CORNISH HEN LN|CUL DE SAC,CORNISH HEN CV,CORNISH HEN LN,CUL DE SAC,['2016-10-06'],Residential,D,B,B,2022.0,2019.0,2017.0,2860,1,
CORONADO HILLS DR|2006|OLD TOWN DR,CORONADO HILLS DR,OLD TOWN DR,2006,['2017-02-27'],Collector,B,C,C,2020.0,2018.0,2018.0,2716,1,
CORONADO HILLS DR|BROOKHOLLOW DR|CREEKSIDE DR,CORONADO HILLS DR,CREEKSIDE DR,BROOKHOLLOW DR,['2017-02-27'],Collector,C,C,C,2020.0,2018.0,2018.0,2716,1,
CORONADO HILLS DR|BROOKHOLLOW DR|OLD TOWN DR,CORONADO HILLS DR,BROOKHOLLOW DR,OLD TOWN DR,['2017-02-27'],Collector,B,D,D,2020.0,2018.0,2018.0,2716,1,
CORONADO|NORTHWESTERN AVE|WEBBERVILLE RD,CORONADO,WEBBERVILLE RD,NORTHWESTERN AVE,['2018-07-29'],Residential,C,C,C,2021.0,2018.0,2018.0,2199,1,
CORONET ST|ADELPHI LN|CASSADY DR,CORONET ST,CASSADY DR,ADELPHI LN,['2017-05-03'],Residential,A,C,C,2020.0,2018.0,2018.0,2651,1,
CORRAL LN|CIRCLE S RD|I 35 SVC RD SB  S,CORRAL LN,CIRCLE S RD,I 35 SVC RD SB  S,['2018-10-04'],Residential,C,C,C,2022.0,2019.0,2017.0,2132,1,
CORRINE LN|CATTLE BARON PATH|DYER DR,CORRINE LN,CATTLE BARON PATH,DYER DR,"['2018-03-19', '2018-10-02']",Residential,A,B,A,2022.0,2019.0,2017.0,2134,2,197.0
CORSICA PL|CUL DE SAC|SENDERO HILLS PKWY,CORSICA PL,SENDERO HILLS PKWY,CUL DE SAC,['2017-09-05'],Residential,D,C,C,2021.0,2018.0,2018.0,2526,1,
COTTLE DR|CHILDRESS DR|NORTHCAPE DR,COTTLE DR,NORTHCAPE DR,CHILDRESS DR,['2018-08-01'],Residential,C,C,C,2020.0,2018.0,2018.0,2196,1,
COTTON ST|1404|ANGELINA ST,COTTON ST,ANGELINA ST,1404,['2018-07-23'],Residential,B,C,C,2021.0,2018.0,2018.0,2205,1,
COTTON ST|1406|COMAL ST,COTTON ST,1406,COMAL ST,['2018-07-23'],Residential,F,B,B,2021.0,2018.0,2018.0,2205,1,
COTTON ST|ANGELINA ST|SAN BERNARD ST,COTTON ST,SAN BERNARD ST,ANGELINA ST,['2018-07-23'],Residential,B,C,C,2021.0,2018.0,2018.0,2205,1,
COTTON ST|NAVASOTA ST|SAN BERNARD ST,COTTON ST,NAVASOTA ST,SAN BERNARD ST,['2018-07-23'],Residential,D,A,A,2021.0,2018.0,2018.0,2205,1,
COTTONWOOD ST|FENCE ROW|SPRING MEADOW RD,COTTONWOOD ST,FENCE ROW,SPRING MEADOW RD,['2019-11-23'],Residential,C,D,D,2022.0,2019.0,2017.0,1717,1,
COUNTRY CANYON CV|9100|DOE VALLEY LN,COUNTRY CANYON CV,9100,DOE VALLEY LN,['2018-05-22'],Residential,F,C,C,2020.0,2018.0,2018.0,2267,1,
COUNTY DOWN DR|ALVINA WOLFF CT|COUNTY DOWN CT,COUNTY DOWN DR,COUNTY DOWN CT,ALVINA WOLFF CT,['2018-05-09'],Residential,D,C,C,2022.0,2019.0,2017.0,2280,1,
COUNTY DOWN DR|COUNTY DOWN CT|RIVER PLANTATION DR,COUNTY DOWN DR,RIVER PLANTATION DR,COUNTY DOWN CT,['2018-05-09'],Residential,A,A,A,2022.0,2019.0,2017.0,2280,1,
COURTYARD CV|5601|COURTYARD DR,COURTYARD CV,5601,COURTYARD DR,['2019-10-28'],Residential,D,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|CAP TX NB TO 2222 RAMP N|SCOUT ISLAND CIR N,COURTYARD DR,SCOUT ISLAND CIR N,CAP TX NB TO 2222 RAMP N,['2019-10-28'],Collector,D,A,A,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|CAPITAL OF TEXAS HWY N|WOLF CT,COURTYARD DR,CAPITAL OF TEXAS HWY N,WOLF CT,['2019-10-28'],Collector,D,A,A,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|COURTYARD CV|SCOUT ISLAND CIR N,COURTYARD DR,COURTYARD CV,SCOUT ISLAND CIR N,['2019-10-28'],Collector,C,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|COURTYARD CV|SCOUT ISLAND CIR S,COURTYARD DR,SCOUT ISLAND CIR S,COURTYARD CV,['2019-10-28'],Collector,C,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|PARADE RIDGE|PARADE RIDGE,COURTYARD DR,PARADE RIDGE,PARADE RIDGE,['2019-10-28'],Collector,A,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|PARADE RIDGE|SAM HOUSTON CIR,COURTYARD DR,PARADE RIDGE,SAM HOUSTON CIR,['2019-10-28'],Collector,B,B,B,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|PARADE RIDGE|SCOUT ISLAND CIR N,COURTYARD DR,SCOUT ISLAND CIR N,PARADE RIDGE,['2019-10-28'],Collector,B,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|SAM HOUSTON CIR|SAM HOUSTON CIR,COURTYARD DR,SAM HOUSTON CIR,SAM HOUSTON CIR,['2019-10-28'],Collector,B,A,A,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|SAM HOUSTON CIR|SCOUT ISLAND CIR S,COURTYARD DR,SAM HOUSTON CIR,SCOUT ISLAND CIR S,['2019-10-28'],Collector,B,C,C,2021.0,2018.0,2018.0,1743,1,
COURTYARD DR|SCOUT ISLAND CIR N|WOLF CT,COURTYARD DR,WOLF CT,SCOUT ISLAND CIR N,['2019-10-28'],Collector,D,D,D,2021.0,2018.0,2018.0,1743,1,
COWDRAY PARK|13200|SAXBY CT,COWDRAY PARK,13200,SAXBY CT,['2018-02-26'],Residential,A,C,C,2020.0,2018.0,2018.0,2352,1,
COWDRAY PARK|PARLIAMENT HOUSE RD|SAXBY CT,COWDRAY PARK,SAXBY CT,PARLIAMENT HOUSE RD,['2018-02-26'],Residential,B,C,C,2020.0,2018.0,2018.0,2352,1,
CRADLEROCK TER|2739|ROSITA CT,CRADLEROCK TER,ROSITA CT,2739,['2019-08-13'],Residential,C,C,C,2022.0,2019.0,2017.0,1819,1,
CRADLEROCK TER|ROSITA CT|TUMBLING CREEK TRL,CRADLEROCK TER,TUMBLING CREEK TRL,ROSITA CT,['2019-08-13'],Residential,F,D,D,2022.0,2019.0,2017.0,1819,1,
CRAGGY PT|5600|PALISADE DR,CRAGGY PT,5600,PALISADE DR,['2016-10-03'],Residential,C,C,C,2021.0,2018.0,2018.0,2863,1,
CRAIG DR|4913|RUSTOWN DR,CRAIG DR,RUSTOWN DR,4913,['2018-05-02'],Residential,C,C,C,2020.0,2018.0,2018.0,2287,1,
CRAIG DR|BLACK ANGUS DR|RUSTOWN DR,CRAIG DR,BLACK ANGUS DR,RUSTOWN DR,['2018-05-02'],Residential,B,C,C,2020.0,2018.0,2018.0,2287,1,
CRAIGWOOD DR|4500|LITTLE HILL CIR,CRAIGWOOD DR,4500,LITTLE HILL CIR,['2019-02-07'],Collector,D,C,C,2021.0,2018.0,2018.0,2006,1,
CRAIGWOOD DR|CRAIGWOOD CIR|F M 969 RD,CRAIGWOOD DR,CRAIGWOOD CIR,F M 969 RD,['2019-02-07'],Collector,D,D,D,2021.0,2018.0,2018.0,2006,1,
CRAIGWOOD DR|CRAIGWOOD CIR|HUNTLEIGH WAY,CRAIGWOOD DR,HUNTLEIGH WAY,CRAIGWOOD CIR,['2019-02-07'],Collector,B,B,B,2021.0,2018.0,2018.0,2006,1,
CRAIGWOOD DR|HUNTLEIGH WAY|LITTLE HILL CIR,CRAIGWOOD DR,LITTLE HILL CIR,HUNTLEIGH WAY,['2019-02-07'],Collector,C,D,D,2021.0,2018.0,2018.0,2006,1,
CRAIGWOOD DR|LITTLE HILL CIR|SHERWYN DR,CRAIGWOOD DR,LITTLE HILL CIR,SHERWYN DR,"['2019-02-07', '2019-02-07']",Collector,B,B,D,2021.0,2021.0,2018.0,2006,2,0.0
CREEDE DR|4209|CRESTONE RD,CREEDE DR,CRESTONE RD,4209,['2018-03-21'],Residential,D,B,C,2022.0,2019.0,2017.0,2329,1,
CREEDE DR|4213|CRESTONE RD,CREEDE DR,4213,CRESTONE RD,['2018-03-21'],Residential,C,C,C,2022.0,2019.0,2017.0,2329,1,
CREEK MOUNTAIN|CREEK LEDGE|F M 2222 RD,CREEK MOUNTAIN,CREEK LEDGE,F M 2222 RD,['2019-06-19'],Residential,C,C,C,2021.0,2018.0,2018.0,1874,1,
CREEK MOUNTAIN|CREEK LEDGE|OLD BULL CREEK RD,CREEK MOUNTAIN,OLD BULL CREEK RD,CREEK LEDGE,['2019-06-19'],Residential,B,C,C,2021.0,2018.0,2018.0,1874,1,
CREEKBLUFF DR|7718|CROSSMEADOW DR,CREEKBLUFF DR,CROSSMEADOW DR,7718,['2018-11-01'],Residential,C,C,C,2020.0,2018.0,2018.0,2104,1,
CREEKBLUFF DR|CROSSMEADOW DR|LEDGE DR,CREEKBLUFF DR,LEDGE DR,CROSSMEADOW DR,['2018-11-01'],Residential,D,C,C,2020.0,2018.0,2018.0,2104,1,
CREEKBLUFF DR|LAKEWOOD DR|LEDGE DR,CREEKBLUFF DR,LAKEWOOD DR,LEDGE DR,['2018-11-01'],Residential,D,C,C,2020.0,2018.0,2018.0,2104,1,
CREEKBRANCH CV|5708|LEATHERLEAF TRL,CREEKBRANCH CV,LEATHERLEAF TRL,5708,['2018-08-01'],Residential,C,D,F,2022.0,2019.0,2017.0,2196,1,
CRENATA CV|9600|CHICTORA CV,CRENATA CV,9600,CHICTORA CV,['2019-06-18'],Residential,C,C,C,2020.0,2018.0,2018.0,1875,1,
CRENATA CV|CHICTORA CV|LOST HORIZON DR,CRENATA CV,CHICTORA CV,LOST HORIZON DR,['2019-06-18'],Residential,B,C,C,2020.0,2018.0,2018.0,1875,1,
CREOLE CV|13400|CREOLE DR,CREOLE CV,13400,CREOLE DR,['2017-06-07'],Residential,F,B,B,2020.0,2018.0,2018.0,2616,1,
CREOLE DR|1801|KINDER PASS,CREOLE DR,1801,KINDER PASS,['2017-06-09'],Residential,C,B,B,2020.0,2018.0,2018.0,2614,1,
CREOLE DR|CREOLE CV|KINDER PASS,CREOLE DR,CREOLE CV,KINDER PASS,"['2017-06-09', '2017-06-09']",Residential,B,A,C,2020.0,2020.0,2018.0,2614,2,0.0
CREOLE DR|KINDER PASS|LAMPLIGHT VILLAGE AVE,CREOLE DR,KINDER PASS,LAMPLIGHT VILLAGE AVE,['2017-06-09'],Residential,B,C,C,2020.0,2018.0,2018.0,2614,1,
CRESCENDO LN|MEMPHIS BELLE RD|RUBY HILLS RD,CRESCENDO LN,RUBY HILLS RD,MEMPHIS BELLE RD,['2018-03-21'],Residential,B,B,C,2022.0,2019.0,2017.0,2329,1,
CRESCENT DR|BROOKVIEW RD|SCHIEFFER AVE,CRESCENT DR,BROOKVIEW RD,SCHIEFFER AVE,['2019-05-20'],Residential,B,D,D,2021.0,2018.0,2018.0,1904,1,
CREST AVE|OAK GROVE AVE|RIDGEWAY DR,CREST AVE,RIDGEWAY DR,OAK GROVE AVE,['2020-01-28'],Residential,B,D,D,2021.0,2018.0,2018.0,1651,1,
CREST MEADOW LN|11201|CHATAM BERRY LN,CREST MEADOW LN,11201,CHATAM BERRY LN,['2017-10-09'],Residential,D,B,D,2022.0,2019.0,2017.0,2492,1,
CREST OAK RD|FENCE ROW|SPRING MEADOW RD,CREST OAK RD,FENCE ROW,SPRING MEADOW RD,['2018-08-21'],Residential,C,B,B,2022.0,2019.0,2017.0,2176,1,
CRESTONE RD|7017|CUL DE SAC,CRESTONE RD,CUL DE SAC,7017,['2018-03-27'],Residential,F,B,B,2022.0,2019.0,2017.0,2323,1,
CRESTONE RD|7024|SUMMIT ST,CRESTONE RD,7024,SUMMIT ST,['2018-03-27'],Residential,D,B,B,2022.0,2019.0,2017.0,2323,1,
CRESTONE RD|BRECKENRIDGE DR|CREEDE DR,CRESTONE RD,CREEDE DR,BRECKENRIDGE DR,['2018-03-27'],Residential,B,B,B,2022.0,2019.0,2017.0,2323,1,
CRESTONE RD|CREEDE DR|CUL DE SAC,CRESTONE RD,CREEDE DR,CUL DE SAC,"['2018-03-27', '2018-03-27']",Residential,C,C,C,2022.0,2022.0,2019.0,2323,2,0.0
CRESTONE RD|CREEDE DR|SUMMITT ST,CRESTONE RD,SUMMITT ST,CREEDE DR,['2018-03-27'],Residential,B,C,C,2022.0,2019.0,2017.0,2323,1,
CRETYS CV|8713|PINEY CREEK BND,CRETYS CV,PINEY CREEK BND,8713,['2016-10-14'],Residential,D,C,C,2022.0,2019.0,2017.0,2852,1,
CRICKET HOLLOW DR|1501|SAGE HOLLOW DR,CRICKET HOLLOW DR,1501,SAGE HOLLOW DR,['2017-07-11'],Residential,C,C,C,2020.0,2018.0,2018.0,2582,1,
CRICKET HOLLOW DR|APPLEWOOD DR|BALTUS DR,CRICKET HOLLOW DR,BALTUS DR,APPLEWOOD DR,['2017-07-11'],Residential,B,C,C,2020.0,2018.0,2018.0,2582,1,
CRICKET HOLLOW DR|APPLEWOOD DR|TAPPAN LN,CRICKET HOLLOW DR,APPLEWOOD DR,TAPPAN LN,['2017-07-11'],Residential,C,C,C,2020.0,2018.0,2018.0,2582,1,
CRICKET HOLLOW DR|BALTUS DR|SAGE HOLLOW DR,CRICKET HOLLOW DR,SAGE HOLLOW DR,BALTUS DR,['2017-07-11'],Residential,B,C,C,2020.0,2018.0,2018.0,2582,1,
CRICKET HOLLOW DR|SAGE HOLLOW DR|TAPPAN LN,CRICKET HOLLOW DR,TAPPAN LN,SAGE HOLLOW DR,['2017-07-11'],Residential,B,D,D,2020.0,2018.0,2018.0,2582,1,
CRICOLI DR|12828|TRISSINO DR,CRICOLI DR,TRISSINO DR,12828,"['2018-03-27', '2019-11-01']",Residential,C,A,A,2022.0,2019.0,2017.0,1739,2,584.0
CRICOLI DR|12829|BERNIA DR,CRICOLI DR,12829,BERNIA DR,"['2018-03-27', '2019-11-01']",Residential,A,C,C,2022.0,2019.0,2017.0,1739,2,584.0
CRICOLI DR|SERLIO DR|TRISSINO DR,CRICOLI DR,SERLIO DR,TRISSINO DR,['2018-03-27'],Residential,B,C,F,2022.0,2019.0,2017.0,2323,1,
CRICOLI DR|SERLIO DR|VITRUVIUS DR,CRICOLI DR,VITRUVIUS DR,SERLIO DR,"['2018-03-27', '2019-11-01']",Residential,A,B,B,2022.0,2019.0,2017.0,1739,2,584.0
CRICOLI DR|TEULADA DR|VITRUVIUS DR,CRICOLI DR,TEULADA DR,VITRUVIUS DR,"['2018-03-27', '2019-11-01']",Residential,A,B,A,2022.0,2019.0,2017.0,1739,2,584.0
CRIPPLE CREEK CV|10208|MOUNTAIN QUAIL RD,CRIPPLE CREEK CV,MOUNTAIN QUAIL RD,10208,['2017-10-04'],Residential,D,C,C,2020.0,2018.0,2018.0,2497,1,
CRIPPLE CREEK DR|801|RAY AVE,CRIPPLE CREEK DR,801,RAY AVE,['2018-03-02'],Collector,F,B,B,2022.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|ASPEN ST|KEN ST,CRIPPLE CREEK DR,KEN ST,ASPEN ST,['2018-03-02'],Collector,D,C,C,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|ASPEN ST|PARKFIELD DR,CRIPPLE CREEK DR,ASPEN ST,PARKFIELD DR,['2018-03-02'],Collector,C,C,C,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|ASPEN ST|SUN HILL DR,CRIPPLE CREEK DR,SUN HILL DR,ASPEN ST,"['2018-03-02', '2018-03-02']",Collector,C,B,D,2020.0,2020.0,2018.0,2348,2,0.0
CRIPPLE CREEK DR|BUTTON QUAIL CV|BUTTON QUAIL DR,CRIPPLE CREEK DR,BUTTON QUAIL CV,BUTTON QUAIL DR,['2018-03-02'],Collector,A,B,B,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|BUTTON QUAIL CV|MOUNTAIN QUAIL RD,CRIPPLE CREEK DR,MOUNTAIN QUAIL RD,BUTTON QUAIL CV,['2018-03-02'],Collector,A,D,D,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|GOLDEN QUAIL DR|MOUNTAIN QUAIL RD,CRIPPLE CREEK DR,GOLDEN QUAIL DR,MOUNTAIN QUAIL RD,['2018-03-02'],Collector,C,C,C,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|GOLDEN QUAIL DR|NEANS DR,CRIPPLE CREEK DR,NEANS DR,GOLDEN QUAIL DR,['2018-03-02'],Collector,F,D,D,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|KEN ST|RAY AVE,CRIPPLE CREEK DR,RAY AVE,KEN ST,['2018-03-02'],Collector,F,C,C,2020.0,2018.0,2018.0,2348,1,
CRIPPLE CREEK DR|NEANS DR|PARKFIELD DR,CRIPPLE CREEK DR,PARKFIELD DR,NEANS DR,['2018-03-02'],Collector,F,C,C,2020.0,2018.0,2018.0,2348,1,
CROCKETT ST|427|WILSON ST,CROCKETT ST,WILSON ST,427,['2017-06-29'],Residential,C,D,D,2021.0,2019.0,2017.0,2594,1,
CROCKETT ST|CONGRESS AVE S|EVA ST,CROCKETT ST,CONGRESS AVE S,EVA ST,['2017-06-29'],Residential,B,C,C,2021.0,2019.0,2017.0,2594,1,
CROCKETT ST|EVA ST|NEWTON ST,CROCKETT ST,EVA ST,NEWTON ST,['2017-06-29'],Residential,C,C,C,2021.0,2019.0,2017.0,2594,1,
CROCKETT ST|NEWTON ST|WILSON ST,CROCKETT ST,NEWTON ST,WILSON ST,['2017-06-29'],Residential,C,C,C,2021.0,2019.0,2017.0,2594,1,
CROSNE ST|BARNS TRL|RODERICK LAWSON LN,CROSNE ST,RODERICK LAWSON LN,BARNS TRL,['2018-03-21'],Residential,D,C,C,2020.0,2018.0,2018.0,2329,1,
CROSS PARK DR|CAMERON RD|FUTURE DR,CROSS PARK DR,FUTURE DR,CAMERON RD,"['2017-03-17', '2017-03-17']",Collector,D,C,C,2020.0,2018.0,2018.0,2698,2,0.0
CROSS PARK DR|CENTRE CREEK DR|FORBES DR,CROSS PARK DR,FORBES DR,CENTRE CREEK DR,['2017-03-17'],Collector,B,B,B,2020.0,2018.0,2018.0,2698,1,
CROSS PARK DR|CENTRE CREEK DR|WALL ST,CROSS PARK DR,CENTRE CREEK DR,WALL ST,['2017-03-17'],Collector,C,B,B,2020.0,2018.0,2018.0,2698,1,
CROSS PARK DR|CHARTRE DR|FORBES DR,CROSS PARK DR,FORBES DR,CHARTRE DR,"['2017-03-17', '2017-03-17']",Collector,B,A,B,2020.0,2020.0,2018.0,2698,2,0.0
CROSS PARK DR|FUTURE DR|WALL ST,CROSS PARK DR,WALL ST,FUTURE DR,['2017-03-17'],Collector,B,B,B,2020.0,2018.0,2018.0,2698,1,
CROSS VALLEY RUN|GENTLE BREEZE TER|LONESOME VALLEY TRL,CROSS VALLEY RUN,GENTLE BREEZE TER,LONESOME VALLEY TRL,['2018-05-18'],Collector,C,D,D,2020.0,2018.0,2018.0,2271,1,
CROSS VALLEY RUN|GENTLE BREEZE TER|MESA DR,CROSS VALLEY RUN,MESA DR,GENTLE BREEZE TER,['2018-05-18'],Collector,D,B,B,2020.0,2018.0,2018.0,2271,1,
CROSS VALLEY RUN|LONESOME VALLEY TRL|MOUNTAIN VILLA DR,CROSS VALLEY RUN,LONESOME VALLEY TRL,MOUNTAIN VILLA DR,['2018-05-18'],Collector,C,C,C,2020.0,2018.0,2018.0,2271,1,
CROSS VALLEY RUN|MOUNT BONNELL RD|UPVALLEY RUN,CROSS VALLEY RUN,UPVALLEY RUN,MOUNT BONNELL RD,['2018-05-18'],Collector,C,F,F,2020.0,2018.0,2018.0,2271,1,
CROSS VALLEY RUN|MOUNTAIN VILLA DR|SMALL DR,CROSS VALLEY RUN,MOUNTAIN VILLA DR,SMALL DR,['2018-05-18'],Collector,C,B,B,2020.0,2018.0,2018.0,2271,1,
CROSS VALLEY RUN|SMALL DR|UPVALLEY RUN,CROSS VALLEY RUN,SMALL DR,UPVALLEY RUN,['2018-05-18'],Collector,D,D,D,2020.0,2018.0,2018.0,2271,1,
CROSSCREEK DR|MILLWAY DR|SHOAL CREEK BLVD,CROSSCREEK DR,MILLWAY DR,SHOAL CREEK BLVD,['2016-10-28'],Collector,D,B,B,2020.0,2018.0,2018.0,2838,1,
CROSSMEADOW DR|7500|LEDGE DR,CROSSMEADOW DR,7500,LEDGE DR,['2018-11-01'],Residential,D,C,C,2020.0,2018.0,2018.0,2104,1,
CROSSMEADOW DR|CREEKBLUFF DR|LEDGE DR,CROSSMEADOW DR,LEDGE DR,CREEKBLUFF DR,['2018-11-01'],Residential,D,C,C,2020.0,2018.0,2018.0,2104,1,
CROWN COLONY DR|BOCA RATON DR|I 35 SVC RD NB  S,CROWN COLONY DR,I 35 SVC RD NB  S,BOCA RATON DR,['2018-04-30'],Collector,C,A,A,2022.0,2019.0,2017.0,2289,1,
CROWN COLONY DR|BOCA RATON DR|ONION CREEK PKWY,CROWN COLONY DR,BOCA RATON DR,ONION CREEK PKWY,['2018-04-30'],Residential,B,B,A,2022.0,2019.0,2017.0,2289,1,
CROWN CT|8801|VILLA PARK DR,CROWN CT,8801,VILLA PARK DR,['2017-10-04'],Residential,D,B,B,2020.0,2018.0,2018.0,2497,1,
CROWN DR|1811|RUSSELL DR,CROWN DR,RUSSELL DR,1811,['2017-06-08'],Residential,D,C,C,2022.0,2019.0,2017.0,2615,1,
CROWN DR|CLAWSON RD|RUSSELL DR,CROWN DR,CLAWSON RD,RUSSELL DR,['2017-06-08'],Residential,B,C,C,2022.0,2019.0,2017.0,2615,1,
CROWN OAKS DR|1114|CROWN RIDGE RD,CROWN OAKS DR,CROWN RIDGE RD,1114,['2018-08-08'],Residential,C,C,C,2020.0,2018.0,2018.0,2189,1,
CROWN RIDGE PATH|CROWN RIDGE RD|TEASDALE TER,CROWN RIDGE PATH,CROWN RIDGE RD,TEASDALE TER,['2018-08-08'],Residential,B,C,C,2020.0,2018.0,2018.0,2189,1,
CROWN RIDGE RD|BLUE RIDGE DR|COLLINGSWORTH DR,CROWN RIDGE RD,COLLINGSWORTH DR,BLUE RIDGE DR,['2018-08-09'],Residential,B,C,C,2020.0,2018.0,2018.0,2188,1,
CROWN RIDGE RD|BLUE RIDGE DR|CROWN OAKS DR,CROWN RIDGE RD,BLUE RIDGE DR,CROWN OAKS DR,['2018-08-09'],Residential,A,C,C,2020.0,2018.0,2018.0,2188,1,
