Street Combination,Street Name,From Limit Street,To Limit Street,Maintenance Dates,Functional Class,Most Recent Inspection Grade,Second Most Recent Inspection Grade,Third Most Recent Inspection Grade,Most Recent Inspection Year,Second Most Recent Inspection Year,Third Most Recent Inspection Year,Days Since Last Maintenance,Number of Maintenance Events,Average Time Between Maintenances
PLACID PL|PERRY LN|VILLAGE DR,PLACID PL,PERRY LN,VILLAGE DR,['2018-01-11'],Residential,C,C,C,2021.0,2018.0,2018.0,2398,1,
PLAYERS PATH|BOROS DR|RIVER PLANTATION DR,PLAYERS PATH,RIVER PLANTATION DR,BOROS DR,['2019-11-01'],Residential,C,A,,2022.0,2019.0,2018.0,1739,1,
PLAYERS PATH|DALY DR|MICKELSON DR,PLAYERS PATH,MICKELSON DR,DALY DR,['2019-11-01'],Residential,B,A,B,2022.0,2019.0,2018.0,1739,1,
PLAYERS PATH|DALY DR|RIVER PLANTATION DR,PLAYERS PATH,DALY DR,RIVER PLANTATION DR,['2019-11-01'],Residential,B,A,B,2022.0,2019.0,2018.0,1739,1,
PLAZA DR|906|911,PLAZA DR,906,911,['2017-08-08'],Collector,A,A,A,2022.0,2018.0,2018.0,2554,1,
PLAZA DR|912|918,PLAZA DR,912,918,['2017-08-08'],,,,,,,,2554,1,
PLAZA DR|I 35 SVC RD NB  N|NORTH OAKS DR,PLAZA DR,I 35 SVC RD NB  N,NORTH OAKS DR,['2017-08-08'],Collector,C,C,C,2020.0,2018.0,2018.0,2554,1,
PLAZA DR|NORTH OAKS DR|OAK TRL,PLAZA DR,NORTH OAKS DR,OAK TRL,['2017-08-08'],Collector,B,C,C,2020.0,2018.0,2018.0,2554,1,
PLAZA DR|OAK TRL|TRINITY HILL DR,PLAZA DR,OAK TRL,TRINITY HILL DR,['2017-08-08'],Collector,B,B,B,2020.0,2018.0,2018.0,2554,1,
PLEASANT VALLEY RD S|0|0,PLEASANT VALLEY RD S,0,0,['2018-10-04'],Residential,B,B,B,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|7500|7520,PLEASANT VALLEY RD S,7500,7520,['2018-10-04'],Arterial,C,F,F,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|7521|EDGE CREEK DR,PLEASANT VALLEY RD S,EDGE CREEK DR,7521,['2018-10-04'],Residential,D,C,C,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|DOVE SPRINGS DR|NESTING WAY,PLEASANT VALLEY RD S,DOVE SPRINGS DR,NESTING WAY,['2018-12-15'],Arterial,C,C,C,2022.0,2019.0,2017.0,2060,1,
PLEASANT VALLEY RD S|DOVE SPRINGS DR|TURNSTONE DR,PLEASANT VALLEY RD S,TURNSTONE DR,DOVE SPRINGS DR,"['2018-12-15', '2018-12-15', '2018-12-15']",Arterial,F,C,C,2022.0,2022.0,2022.0,2060,3,0.0
PLEASANT VALLEY RD S|EDGE CREEK DR|ONION CREEK,PLEASANT VALLEY RD S,ONION CREEK,EDGE CREEK DR,['2018-10-04'],Residential,C,C,C,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|HAMMERMILL RUN|TURNSTONE DR,PLEASANT VALLEY RD S,HAMMERMILL RUN,TURNSTONE DR,"['2018-12-15', '2018-12-15']",Arterial,F,D,F,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|HAMMERMILL RUN|VILLAGE SQUARE DR,PLEASANT VALLEY RD S,VILLAGE SQUARE DR,HAMMERMILL RUN,"['2018-12-15', '2018-12-15']",Arterial,F,D,D,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|LEATHERLEAF TRL|PALO BLANCO LN,PLEASANT VALLEY RD S,PALO BLANCO LN,LEATHERLEAF TRL,"['2018-12-15', '2018-12-15']",Arterial,F,C,F,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|LEATHERLEAF TRL|VILLAGE SQUARE DR,PLEASANT VALLEY RD S,LEATHERLEAF TRL,VILLAGE SQUARE DR,"['2018-12-15', '2018-12-15']",Arterial,F,C,F,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|NESTING WAY|NUCKOLS CROSSING RD,PLEASANT VALLEY RD S,NESTING WAY,NUCKOLS CROSSING RD,['2018-12-15'],Arterial,D,C,C,2022.0,2019.0,2017.0,2060,1,
PLEASANT VALLEY RD S|NUCKOLS CROSSING RD|TURNSTONE DR,PLEASANT VALLEY RD S,TURNSTONE DR,NUCKOLS CROSSING RD,['2018-12-15'],Arterial,F,D,F,2022.0,2019.0,2017.0,2060,1,
PLEASANT VALLEY RD S|ONION CREEK DR|QUICKSILVER BLVD,PLEASANT VALLEY RD S,QUICKSILVER BLVD,ONION CREEK DR,"['2018-10-04', '2018-10-04']",Arterial,B,B,B,2022.0,2022.0,2019.0,2132,2,0.0
PLEASANT VALLEY RD S|ONION CREEK DR|SAND HILL DR,PLEASANT VALLEY RD S,ONION CREEK DR,SAND HILL DR,['2018-10-04'],Arterial,D,C,C,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|ONION CREEK DR|THORNWOOD DR,PLEASANT VALLEY RD S,ONION CREEK DR,THORNWOOD DR,['2018-10-04'],Arterial,C,D,D,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|ONION CREEK DR|WILLIAM CANNON DR E,PLEASANT VALLEY RD S,WILLIAM CANNON DR E,ONION CREEK DR,"['2018-10-04', '2018-10-04']",Arterial,F,F,F,2022.0,2022.0,2019.0,2132,2,0.0
PLEASANT VALLEY RD S|PALO BLANCO LN|VILLAGE LN,PLEASANT VALLEY RD S,VILLAGE LN,PALO BLANCO LN,"['2018-12-15', '2018-12-15']",Arterial,F,F,F,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|QUICKSILVER BLVD|SPRINGVILLE LN,PLEASANT VALLEY RD S,SPRINGVILLE LN,QUICKSILVER BLVD,"['2018-10-04', '2018-10-04']",Arterial,C,B,C,2022.0,2022.0,2019.0,2132,2,0.0
PLEASANT VALLEY RD S|SAND HILL DR|THORNWOOD DR,PLEASANT VALLEY RD S,SAND HILL DR,THORNWOOD DR,['2018-10-04'],Arterial,C,C,C,2022.0,2019.0,2017.0,2132,1,
PLEASANT VALLEY RD S|SPRINGVILLE LN|THORNWOOD DR,PLEASANT VALLEY RD S,THORNWOOD DR,SPRINGVILLE LN,"['2018-10-04', '2018-10-04']",Arterial,F,D,D,2022.0,2022.0,2019.0,2132,2,0.0
PLEASANT VALLEY RD S|STASSNEY LN E|VILLAGE LN,PLEASANT VALLEY RD S,STASSNEY LN E,VILLAGE LN,"['2018-12-15', '2018-12-15']",Arterial,F,D,F,2022.0,2022.0,2019.0,2060,2,0.0
PLEASANT VALLEY RD S|STASSNEY LN E|VILLAGE WALK,PLEASANT VALLEY RD S,VILLAGE WALK,STASSNEY LN E,['2018-08-27'],Arterial,C,D,F,2022.0,2022.0,2019.0,2170,1,
PLEASANT VALLEY RD S|TERI RD|VILLAGE WALK,PLEASANT VALLEY RD S,TERI RD,VILLAGE WALK,['2018-08-27'],Arterial,F,D,D,2022.0,2022.0,2019.0,2170,1,
PLOVER DR|9706|PHEASANT DR W,PLOVER DR,9706,PHEASANT DR W,['2018-08-21'],Residential,F,B,B,2020.0,2018.0,2018.0,2176,1,
PLOVER DR|LONGSPUR BLVD W|PHEASANT DR W,PLOVER DR,PHEASANT DR W,LONGSPUR BLVD W,['2018-08-21'],Residential,B,B,B,2020.0,2018.0,2018.0,2176,1,
PLOVER DR|LONGSPUR BLVD W|STARLING DR W,PLOVER DR,LONGSPUR BLVD W,STARLING DR W,['2018-08-21'],Residential,B,C,C,2020.0,2018.0,2018.0,2176,1,
