ID,Length,Material,Diameter,Installed,Leak Occurred
100330,27 ft,PVC,6,38721,0
100331,10.05 ft,PVC,6,38721,0
100332,9.74 ft,PVC,8,38721,0
100333,259 ft,PVC,8,38721,0
100334,9.16 ft,PVC,6,38721,0
100335,9 ft,PVC,6,38721,0
100336,9.78 ft,PVC,8,38721,0
100337,134 ft,PVC,8,38721,0
100338,10.49 ft,PVC,8,38721,0
100339,119 ft,PVC,8,38721,0
10034,5 ft,PVC,6,31063,0
100340,7 ft,PVC,6,38721,0
100341,10.18 ft,PVC,8,38721,0
100342,118 ft,PVC,8,38721,0
100343,16.96 ft,PVC,8,38721,0
100344,9.79 ft,PVC,8,38721,0
100345,111 ft,PVC,8,38721,0
100346,4.28 ft,PVC,6,38721,0
100347,4.2 ft,PVC,6,38721,0
100348,57.11 ft,PVC,8,38721,0
100349,10 ft,PVC,8,38721,0
10035,26.25 ft,Cast Iron,8,29221,0
100350,12.72 ft,PVC,8,39295,0
100351,14.76 ft,PVC,8,39295,0
100352,9.4 ft,PVC,8,39295,0
100353,9.36 ft,PVC,8,39295,0
100354,10 ft,PVC,8,39295,0
100355,113.94 ft,PVC,8,39295,0
100356,10.48 ft,PVC,8,39295,0
100357,167 ft,PVC,8,39295,0
100358,6.2 ft,PVC,6,39295,0
100359,6.1 ft,PVC,6,39295,0
10036,25.18 ft,PVC,8,36526,0
100360,9 ft,PVC,8,39295,0
100361,13.66 ft,PVC,8,39295,0
100362,10 ft,PVC,8,39295,0
100363,9.53 ft,PVC,8,39295,0
100364,10 ft,PVC,8,39295,0
100365,156.39 ft,PVC,8,39295,0
100366,13 ft,PVC,6,39295,0
100367,10 ft,PVC,6,39295,0
100368,10 ft,PVC,8,39295,0
100369,41.28 ft,PVC,8,39295,0
10037,36.56 ft,PVC,8,38205,0
100370,15 ft,PVC,8,39295,0
100371,10.32 ft,PVC,8,39295,0
100372,9 ft,PVC,8,39295,0
100373,142.74 ft,PVC,8,39295,0
100374,10 ft,PVC,8,39295,0
100375,50.24 ft,PVC,8,39295,0
100376,8 ft,PVC,8,39295,0
100377,4.8 ft,PVC,8,39295,0
100378,43.79 ft,PVC,8,39295,0
100379,13.25 ft,PVC,8,39295,0
10038,26.67 ft,PVC,8,38264,0
100380,177.33 ft,PVC,8,39295,0
100381,9.33 ft,PVC,8,39295,0
100382,9.5 ft,PVC,8,39295,0
100383,10 ft,PVC,8,39295,0
100384,30.87 ft,PVC,8,39295,0
100385,5 ft,PVC,6,39295,0
100386,4.97 ft,PVC,6,39295,0
100387,10 ft,PVC,8,39295,0
100388,69.19 ft,PVC,8,39295,0
100389,9 ft,PVC,8,39295,0
100390,8.89 ft,PVC,8,39295,0
100391,10 ft,PVC,8,39295,0
100392,80.52 ft,PVC,8,39295,0
100393,10 ft,PVC,8,39295,0
100394,9.72 ft,PVC,8,39295,0
100395,10 ft,PVC,8,39295,0
100396,36.32 ft,PVC,8,39295,0
100397,5.42 ft,PVC,6,39295,0
100398,5 ft,PVC,6,39295,0
100399,10 ft,PVC,8,39295,0
1004,12 ft,Ductile Iron,6,32874,0
100400,233.3 ft,PVC,8,39295,0
100401,2.38 ft,PVC,8,39295,0
100402,50.83 ft,PVC,12,39295,0
100403,232.35 ft,PVC,12,39295,0
100404,9.92 ft,PVC,12,39295,0
100405,10 ft,PVC,8,39295,0
100406,32 ft,PVC,8,39295,0
100407,6.88 ft,PVC,6,39295,0
100408,77.99 ft,PVC,8,39714,0
100409,6.14 ft,PVC,6,39714,0
100410,6.14 ft,PVC,6,39714,0
100411,9.64 ft,PVC,8,39714,0
100412,86.98 ft,PVC,8,39714,0
100413,3.25 ft,PVC,8,39714,0
100414,3.25 ft,PVC,8,39714,0
100415,17.47 ft,PVC,8,39714,0
100416,3.34 ft,PVC,8,39714,0
100417,3.33 ft,PVC,8,39714,0
100418,57.99 ft,PVC,8,39714,0
100419,10.21 ft,PVC,8,39714,0
100420,106.96 ft,PVC,8,39714,0
100421,10 ft,PVC,8,39714,0
100422,6.53 ft,PVC,6,39714,0
100423,6.5 ft,PVC,6,39714,0
100424,176.94 ft,PVC,8,39714,0
100425,4.42 ft,PVC,8,39714,0
100426,4.42 ft,PVC,8,39714,0
100427,21.88 ft,PVC,8,39714,0
100428,67.15 ft,PVC,8,39714,0
100429,10 ft,PVC,8,39714,0
100430,4.33 ft,PVC,8,39714,0
100431,4.33 ft,PVC,8,39714,0
100432,125.18 ft,PVC,8,39714,0
100433,10 ft,PVC,8,39714,0
100434,5.82 ft,PVC,6,39714,0
100435,5.8 ft,PVC,6,39714,0
100436,84.18 ft,PVC,8,39714,0
100437,10 ft,PVC,8,39714,0
100438,10.13 ft,Cast Iron,12,22282,0
100439,10.04 ft,PVC,8,39715,0
100440,45 ft,PVC,8,39715,0
100441,160.71 ft,PVC,12,36161,0
100442,64.59 ft,PVC,12,36161,0
100443,10 ft,PVC,8,39715,0
100444,271.72 ft,PVC,8,39715,0
100445,7 ft,PVC,6,39715,0
100446,6.93 ft,PVC,6,39715,0
100447,10 ft,PVC,8,39715,0
100448,240.06 ft,PVC,8,39715,0
100449,48.47 ft,PVC,8,39715,0
100450,10 ft,PVC,8,39715,0
