ID,Length,Material,Diameter,Installed,Leak Occurred
38277,495.92 ft,Cast Iron,8,28856,0
38278,341.52 ft,Ductile Iron,8,31048,0
38279,5.2 ft,PVC,6,33604,0
38280,339.71 ft,PVC,8,31778,0
38281,102.12 ft,Ductile Iron,12,31048,0
38282,15.43 ft,PVC,6,31413,0
38283,45.08 ft,PVC,6,34222,0
38284,35.19 ft,Reinforced Concrete Cylinder Pipe,20,32874,0
38285,14.71 ft,Ductile Iron,8,30682,0
38286,8.52 ft,PVC,8,33604,0
38288,9.99 ft,PVC,6,36526,0
38289,11.33 ft,PVC,8,36718,0
3829,19.34 ft,PVC,6,36161,0
38290,121.52 ft,PVC,8,33239,0
38291,245.16 ft,Ductile Iron,8,29587,0
38292,15.11 ft,Ductile Iron,6,31048,0
38293,218.59 ft,PVC,8,31413,0
38294,6.91 ft,Cast Iron,6,28126,0
38295,21.59 ft,PVC,8,33604,0
38296,10.11 ft,Reinforced Concrete Cylinder Pipe,24,30682,0
38297,17.86 ft,PVC,8,31778,0
38298,14.11 ft,PVC,8,33239,0
38299,35.11 ft,PVC,8,31778,0
383,5.12 ft,PVC,6,33970,0
3830,10.61 ft,Ductile Iron,8,31048,0
38301,95.58 ft,Ductile Iron,8,31778,0
38302,20.73 ft,Cast Iron,6,28491,0
38304,9.5 ft,PVC,8,36892,0
38305,97.07 ft,PVC,8,35065,0
38306,10.02 ft,Ductile Iron,6,30682,0
38307,32.49 ft,PVC,12,31815,0
38308,64.19 ft,PVC,8,36526,0
38309,8.38 ft,PVC,6,36526,0
3831,27.06 ft,Cast Iron,6,27030,0
38310,6.31 ft,Cast Iron,8,26299,0
38311,16.59 ft,Cast Iron,6,26299,0
38312,24.76 ft,PVC,8,36526,0
38314,8 ft,PVC,6,36526,0
38315,4.24 ft,PVC,6,33604,0
38316,130.65 ft,Ductile Iron,12,30317,0
38317,6.01 ft,PVC,8,36526,0
38318,5 ft,Ductile Iron,6,30682,0
3832,7.08 ft,PVC,6,33604,0
38320,261.05 ft,Cast Iron,8,27760,0
38322,5.26 ft,Ductile Iron,6,31778,0
38323,4.15 ft,PVC,6,33970,0
38324,16.13 ft,Ductile Iron,8,30317,0
38325,7 ft,Cast Iron,6,29221,0
38326,178.91 ft,Ductile Iron,12,30317,0
38327,318.43 ft,PVC,8,33239,0
38328,8.72 ft,PVC,6,35431,0
38329,7.6 ft,PVC,6,36800,0
3833,205.94 ft,Cast Iron,8,28491,0
38330,220.76 ft,Cast Iron,10,27760,0
38331,8 ft,Cast Iron,6,31048,0
38332,510.21 ft,Cast Iron,6,26299,0
38333,17.25 ft,Cast Iron,6,30682,0
38334,33.84 ft,Ductile Iron,8,31048,0
38335,348.91 ft,Reinforced Concrete Cylinder Pipe,24,27760,0
38336,20.22 ft,PVC,8,35796,0
38337,19.14 ft,PVC,8,35431,0
38338,412.34 ft,Cast Iron,6,27760,0
38339,7 ft,Cast Iron,6,26665,0
38340,90.03 ft,PVC,8,36526,0
38341,81.62 ft,PVC,8,36526,0
38342,8.33 ft,PVC,6,33239,0
38343,6.2 ft,PVC,6,33604,0
38344,24.45 ft,Cast Iron,8,28126,0
38345,57.25 ft,PVC,8,34335,0
38346,12.38 ft,Ductile Iron,8,31778,0
38347,46.9 ft,PVC,8,35431,0
38348,67.23 ft,PVC,8,35431,0
38349,13.33 ft,PVC,6,34700,0
3835,14.82 ft,Ductile Iron,12,30317,0
38350,56.28 ft,PVC,12,36161,0
38351,10.4 ft,PVC,8,35431,0
38352,23.89 ft,PVC,8,36526,0
38353,16.23 ft,Cast Iron,6,28491,0
38354,23.94 ft,PVC,6,30682,1
38355,11.93 ft,PVC,4,36526,0
38356,6.28 ft,Cast Iron,8,28491,0
38357,4 ft,PVC,6,33604,0
38358,22.31 ft,Ductile Iron,8,33604,0
38359,4.26 ft,PVC,6,36526,0
3836,15.59 ft,Ductile Iron,8,32143,0
38360,227.07 ft,Ductile Iron,12,30317,0
38361,20.29 ft,Ductile Iron,6,29587,0
38362,10.47 ft,Ductile Iron,8,30682,0
38363,22.78 ft,PVC,8,34335,0
38364,16.03 ft,PVC,8,33604,0
38365,42.63 ft,PVC,8,36987,0
38366,7.75 ft,PVC,8,35796,0
38367,5 ft,PVC,6,33239,0
38368,300.16 ft,Cast Iron,12,28856,0
3837,31.92 ft,Ductile Iron,8,31778,0
38370,24.93 ft,PVC,12,30682,0
38371,16.39 ft,PVC,8,34700,0
38372,33.54 ft,Ductile Iron,6,30682,0
38373,271.45 ft,Cast Iron,8,28491,0
38374,35.4 ft,Ductile Iron,8,28491,0
38375,14.49 ft,PVC,8,32874,0
38376,30.45 ft,PVC,6,33604,0
38377,340.26 ft,Ductile Iron,8,31778,0
38378,17.27 ft,Cast Iron,6,28491,0
3838,502.54 ft,PVC,8,34335,0
38380,5 ft,Ductile Iron,6,32143,0
38381,22 ft,Ductile Iron,6,31778,0
38382,22.21 ft,Cast Iron,4,27760,0
38383,477.14 ft,Reinforced Concrete Cylinder Pipe,18,33239,0
38385,156.46 ft,Cast Iron,8,26665,0
38386,40.37 ft,Cast Iron,6,27760,0
38387,10 ft,PVC,8,35954,0
38388,33.56 ft,PVC,6,31048,0
38389,5 ft,PVC,12,36892,0
3839,18.73 ft,PVC,8,35796,0
38391,731.01 ft,Reinforced Concrete Pipe,18,37257,0
38392,14.89 ft,PVC,6,31048,0
38393,48.51 ft,Cast Iron,6,27760,0
38395,6.72 ft,Cast Iron,6,29587,0
38396,130.39 ft,Ductile Iron,12,30083,0
38397,290.36 ft,Ductile Iron,12,32210,0
38399,38.79 ft,Cast Iron,6,26665,0
384,18.72 ft,Cast Iron,8,29952,0
3840,326.4 ft,PVC,12,33970,0
38400,15.7 ft,PVC,8,36526,0
38403,225.55 ft,Cast Iron,8,31048,0
38405,6.51 ft,Cast Iron,8,22647,0
38406,6.2 ft,PVC,6,36526,0
38407,9.67 ft,PVC,8,36161,0
38408,3.59 ft,Ductile Iron,6,29952,0
38409,88.54 ft,PVC,8,31778,0
3841,8.43 ft,Cast Iron,6,26299,0
38410,20.53 ft,PVC,8,32509,0
38411,9.47 ft,PVC,8,36161,0
38412,9.72 ft,PVC,8,35796,0
38413,7 ft,Cast Iron,6,29221,0
38414,10.67 ft,PVC,8,36526,0
38415,247.05 ft,PVC,8,36161,0
38416,24.11 ft,Cast Iron,8,26665,0
38417,13.78 ft,PVC,4,35796,0
38418,36.56 ft,Ductile Iron,12,31413,0
3842,10.37 ft,PVC,12,34335,0
38420,14.08 ft,PVC,4,36526,0
38421,4.49 ft,PVC,8,36526,0
38422,35.56 ft,Ductile Iron,6,29587,0
38423,53.23 ft,Cast Iron,8,27760,0
38424,4 ft,Cast Iron,6,28491,0
38425,32.85 ft,PVC,8,35796,0
38426,10.24 ft,PVC,8,33366,0
38427,11.72 ft,Ductile Iron,6,34335,0
38428,8.5 ft,PVC,6,35122,0
38429,10 ft,PVC,6,33630,0
3843,15.48 ft,PVC,8,35796,0
38430,271.61 ft,Cast Iron,6,25934,0
38432,4.31 ft,PVC,6,33970,0
38433,10.25 ft,PVC,8,33604,0
38434,10.16 ft,Ductile Iron,6,36892,0
38435,9.19 ft,PVC,6,36161,0
38436,90.83 ft,Cast Iron,6,27395,0
38437,3.7 ft,PVC,8,35796,0
38438,261.83 ft,PVC,8,33604,0
38439,5.5 ft,PVC,6,36161,0
3844,24.76 ft,PVC,8,36526,0
38440,30.2 ft,PVC,8,33604,0
38441,16.73 ft,PVC,8,35796,0
38442,235.23 ft,PVC,8,34700,0
38443,165.79 ft,PVC,12,35431,0
38444,14.6 ft,PVC,6,36526,0
38445,7 ft,Cast Iron,6,27760,0
38446,19.89 ft,Cast Iron,6,29587,0
38447,20.56 ft,PVC,12,33239,0
38448,13.79 ft,PVC,8,34335,0
38449,8.23 ft,PVC,8,36161,0
3845,219.79 ft,PVC,8,32143,0
38450,10 ft,Ductile Iron,6,30682,0
38451,12.59 ft,PVC,6,33604,0
38452,21.34 ft,PVC,6,33970,0
38453,8.34 ft,PVC,6,31048,0
38454,35.26 ft,PVC,6,32509,0
38455,95.29 ft,PVC,8,33970,0
38456,139.55 ft,PVC,8,36161,0
38457,6.69 ft,PVC,4,36161,0
38459,83.69 ft,Reinforced Concrete Cylinder Pipe,27,26665,0
3846,11.7 ft,PVC,8,32143,0
38460,1.43 ft,PVC,12,31413,0
38461,14.54 ft,PVC,8,36161,0
38462,605.87 ft,PVC,12,32874,0
38463,16 ft,Ductile Iron,6,32874,0
38464,5 ft,Cast Iron,6,29587,0
38465,48.24 ft,Cast Iron,6,27395,0
38469,105 ft,Cast Iron,12,28856,0
3847,7.37 ft,PVC,6,36892,0
38470,8 ft,PVC,6,35431,0
38471,3.98 ft,Ductile Iron,8,30682,0
38474,15.33 ft,PVC,8,36892,0
38475,9.65 ft,PVC,8,35065,0
38476,221.9 ft,PVC,8,36161,0
38477,12.72 ft,PVC,8,34700,0
38478,4.7 ft,Ductile Iron,6,33239,0
38479,14.18 ft,Ductile Iron,6,31413,0
3848,678.47 ft,Cast Iron,6,27030,0
38480,34.98 ft,PVC,12,33239,0
38481,19.97 ft,PVC,8,36987,0
38482,42.46 ft,PVC,8,31048,0
38483,7 ft,Ductile Iron,6,30682,0
38484,837.58 ft,Cast Iron,6,27760,1
38485,21.12 ft,PVC,8,33604,0
38486,14.45 ft,Ductile Iron,8,30317,0
38487,98.66 ft,Ductile Iron,8,31048,0
38488,38.8 ft,PVC,8,31048,0
38489,27.38 ft,Ductile Iron,8,29221,0
3849,10.82 ft,PVC,6,33239,0
38490,77.35 ft,PVC,8,35796,0
38491,8.94 ft,PVC,6,35431,0
38492,19.84 ft,PVC,12,32509,0
38493,17.43 ft,PVC,8,35796,0
38494,477.31 ft,PVC,8,36526,0
38495,20.3 ft,Ductile Iron,6,30317,0
38496,95.05 ft,PVC,6,31048,0
38497,182.68 ft,Ductile Iron,12,30682,0
38498,223.38 ft,Cast Iron,12,23743,0
38499,4.86 ft,Ductile Iron,6,33604,0
385,25.89 ft,PVC,8,31048,0
3850,218.43 ft,Cast Iron,12,29221,0
38500,27 ft,Ductile Iron,8,31048,0
38501,23.49 ft,Cast Iron,6,28491,0
38502,15 ft,PVC,6,34700,0
38503,32.03 ft,Cast Iron,6,28491,0
38504,15.76 ft,Ductile Iron,8,28491,0
38506,248.15 ft,Cast Iron,8,26299,0
38507,5 ft,Cast Iron,6,29587,0
38508,44.76 ft,Cast Iron,8,27760,0
38509,10 ft,PVC,8,35065,0
3851,424.12 ft,PVC,8,35431,0
38510,8 ft,PVC,6,30682,0
38511,15.53 ft,PVC,12,35065,0
38512,15.25 ft,PVC,6,33604,0
38513,141.87 ft,PVC,8,35796,0
38514,259.77 ft,PVC,12,36892,0
38515,5 ft,PVC,8,36526,0
38516,4.73 ft,PVC,6,33604,0
38517,247.28 ft,PVC,8,32509,0
38518,333.77 ft,PVC,8,36526,0
38519,412.76 ft,PVC,8,35122,0
38520,13.35 ft,PVC,12,34700,0
38521,7 ft,PVC,6,31523,0
38522,145.86 ft,Ductile Iron,12,30682,0
38523,13.88 ft,PVC,4,35431,0
38524,1.82 ft,Ductile Iron,6,30682,0
38525,200.52 ft,PVC,12,32143,0
38526,106.59 ft,Reinforced Concrete Cylinder Pipe,18,24108,0
38527,262.9 ft,Ductile Iron,12,30682,0
38528,269.74 ft,PVC,8,35796,0
38529,45.46 ft,PVC,8,33604,0
3853,354.64 ft,Cast Iron,6,28126,1
38530,19.61 ft,PVC,4,36161,0
38531,83.17 ft,PVC,8,34918,0
38532,72.25 ft,Cast Iron,12,27760,0
38533,143.94 ft,PVC,8,33970,0
38534,38.52 ft,PVC,6,31048,0
38535,8.73 ft,Ductile Iron,12,32210,0
38536,4 ft,Cast Iron,6,26665,0
38537,412.12 ft,Cast Iron,8,27760,0
38538,9.13 ft,PVC,6,31413,0
38539,21.68 ft,PVC,6,35796,0
3854,1.86 ft,Cast Iron,8,27395,0
38540,23.07 ft,PVC,8,35796,0
38541,5 ft,PVC,6,33604,0
38542,115.97 ft,PVC,8,33970,0
38543,18.95 ft,PVC,8,36526,0
38544,51.54 ft,PVC,12,34700,0
38545,3.91 ft,PVC,6,36161,0
38546,36.28 ft,Ductile Iron,8,31048,0
38547,19.31 ft,Ductile Iron,6,30682,0
38548,21.54 ft,Ductile Iron,8,30682,0
38549,21.57 ft,PVC,6,33239,0
3855,41.15 ft,PVC,8,35431,0
38550,94.11 ft,PVC,8,35431,0
38551,175.48 ft,PVC,8,33239,0
38552,18.03 ft,PVC,6,35065,0
38553,7.28 ft,PVC,6,36892,0
38554,5 ft,PVC,6,36526,0
38555,12.22 ft,PVC,8,36892,0
38556,101.86 ft,Cast Iron,6,27760,1
38557,29.78 ft,PVC,8,35796,0
38558,49.81 ft,PVC,8,34335,0
38559,24.72 ft,Cast Iron,6,28491,0
3856,18.91 ft,Cast Iron,6,30682,0
38560,326.31 ft,Reinforced Concrete Cylinder Pipe,24,29221,0
38561,11.02 ft,Ductile Iron,8,31778,0
38562,33.09 ft,PVC,6,32509,0
38563,116.15 ft,PVC,8,34335,0
38564,17.25 ft,Ductile Iron,6,30317,0
38565,40.54 ft,PVC,1.5,30682,0
38566,9.88 ft,PVC,8,36892,0
38567,7.51 ft,PVC,12,37257,0
38568,38.99 ft,Ductile Iron,8,32143,0
38569,32.63 ft,Cast Iron,6,29221,0
3857,99 ft,Ductile Iron,12,34335,0
38570,30 ft,Reinforced Concrete Cylinder Pipe,42,30317,0
38571,131.46 ft,PVC,6,27760,0
38572,22.37 ft,Cast Iron,6,28856,0
38573,7 ft,Cast Iron,6,25569,0
38574,7.97 ft,Cast Iron,6,30682,0
38575,252.69 ft,Cast Iron,8,29221,0
38576,59 ft,PVC,8,34335,0
38577,43.99 ft,PVC,8,35796,0
38578,141.97 ft,PVC,8,36526,0
38579,11.84 ft,PVC,8,33604,0
3858,14.19 ft,PVC,8,34700,0
38580,29.13 ft,Ductile Iron,8,31413,0
38581,304.8 ft,PVC,8,35065,0
38582,8.51 ft,PVC,8,34335,0
38583,14.8 ft,PVC,6,33970,0
38584,30.06 ft,PVC,6,30317,0
38585,10.44 ft,PVC,8,34700,0
38586,24.79 ft,PVC,8,35431,0
38587,328.42 ft,PVC,12,30317,0
38588,2.47 ft,PVC,6,31778,0
38589,369.23 ft,PVC,8,36161,0
3859,452.02 ft,Cast Iron,8,26299,0
38590,177.46 ft,PVC,8,36526,0
38591,207.66 ft,PVC,8,36161,0
38592,9.71 ft,PVC,6,30682,0
38593,9 ft,Ductile Iron,6,35796,0
38594,9.55 ft,PVC,8,36161,0
38595,5.59 ft,PVC,8,37257,0
38596,16.82 ft,PVC,6,35431,0
38597,66.13 ft,PVC,8,35431,0
38598,7.85 ft,Cast Iron,6,28856,0
38599,148.72 ft,Cast Iron,8,28491,0
386,6 ft,PVC,6,33604,0
3860,22.49 ft,Ductile Iron,6,30682,0
38601,15.21 ft,PVC,8,36892,0
38603,12.05 ft,PVC,8,36526,0
38604,7 ft,Cast Iron,6,26665,0
38605,7.72 ft,Cast Iron,6,30682,0
38606,70.96 ft,PVC,8,31413,0
38608,18.36 ft,Cast Iron,6,28856,0
38609,30.88 ft,Ductile Iron,8,32509,0
3861,41.26 ft,Ductile Iron,8,31048,0
38610,19.68 ft,Ductile Iron,8,31048,0
38611,278.84 ft,PVC,12,33239,0
38612,15.99 ft,PVC,12,31413,0
38613,5.19 ft,PVC,4,36526,0
38614,55.07 ft,Cast Iron,8,25934,0
38616,35.37 ft,Ductile Iron,8,30317,0
38617,7 ft,Cast Iron,6,30317,0
38618,224.66 ft,PVC,12,33239,0
38619,15.08 ft,Ductile Iron,6,31048,0
3862,7 ft,Ductile Iron,6,32509,0
38620,13.75 ft,PVC,8,34335,0
38621,277.64 ft,PVC,8,33604,0
38622,405.38 ft,PVC,8,37257,0
38623,152.3 ft,PVC,8,35065,0
38624,4.92 ft,Ductile Iron,12,31534,0
38625,17.66 ft,Ductile Iron,6,28856,0
38627,9.64 ft,Cast Iron,6,27760,0
38628,16.61 ft,PVC,8,35065,0
38629,11.05 ft,PVC,6,33970,0
3863,8 ft,PVC,6,35796,0
38630,24.43 ft,Cast Iron,6,29221,0
38631,328.87 ft,PVC,8,35796,0
38632,15.26 ft,PVC,8,35796,0
38633,84.27 ft,Ductile Iron,6,30317,0
38634,5.25 ft,PVC,6,33970,0
38635,10 ft,PVC,8,32143,0
38636,427.93 ft,PVC,8,35796,0
38637,115.72 ft,PVC,12,31778,0
38639,5 ft,PVC,6,33604,0
3864,30.86 ft,PVC,6,34700,0
38640,2.69 ft,PVC,8,34700,0
38641,9.64 ft,Cast Iron,6,28856,0
38642,5 ft,Cast Iron,6,28856,0
38643,27.03 ft,PVC,12,30682,0
38644,21.54 ft,PVC,8,35431,0
38645,325.91 ft,PVC,8,36526,0
38648,368.81 ft,PVC,8,34335,0
38649,6 ft,Cast Iron,6,24838,0
3865,10 ft,Ductile Iron,8,30682,0
38650,4.28 ft,PVC,8,35065,0
38651,6.49 ft,Ductile Iron,6,30868,0
38652,8 ft,Cast Iron,6,28491,0
38653,5.45 ft,Cast Iron,6,26299,0
38654,5 ft,PVC,6,35065,0
38655,20.04 ft,PVC,8,35431,0
38656,14.12 ft,PVC,8,36526,0
38657,21.33 ft,PVC,8,33604,0
38658,21.81 ft,Ductile Iron,8,30317,0
38659,317.06 ft,Reinforced Concrete Cylinder Pipe,24,30317,0
3866,3.2 ft,PVC,6,35431,0
38660,22.12 ft,PVC,12,36892,0
38661,24 ft,PVC,6,31413,0
38662,6 ft,PVC,6,32874,0
38663,26.67 ft,PVC,8,36161,0
38665,26.57 ft,Cast Iron,8,28856,0
38666,186.86 ft,PVC,8,33604,0
38667,7 ft,PVC,6,33604,0
38668,215.25 ft,Ductile Iron,8,30317,1
38669,5 ft,Cast Iron,6,28856,0
3867,12.46 ft,Ductile Iron,12,31048,0
38670,163 ft,Reinforced Concrete Cylinder Pipe,18,22647,0
38671,24.39 ft,Cast Iron,8,25569,0
38672,274.82 ft,PVC,12,25569,0
38673,41.91 ft,Cast Iron,6,27760,0
38674,7 ft,PVC,6,35065,0
38675,124.68 ft,PVC,8,33604,0
38676,14.88 ft,Ductile Iron,8,31413,0
38677,8 ft,PVC,6,33604,0
38678,328.44 ft,PVC,8,35696,0
38679,19.04 ft,PVC,6,36526,0
3868,14.9 ft,PVC,6,33239,0
38680,19.33 ft,Cast Iron,6,28126,0
38681,12.04 ft,PVC,6,30682,0
38682,11.8 ft,PVC,8,36526,0
38683,4.74 ft,PVC,6,33604,0
38684,6.1 ft,Cast Iron,6,28856,0
38685,687 ft,Cast Iron,6,26299,0
38686,44.57 ft,Cast Iron,6,26299,0
38687,124.12 ft,Cast Iron,6,27760,0
38688,21.62 ft,Ductile Iron,8,31413,0
38689,20.59 ft,PVC,8,36161,0
3869,5.4 ft,Cast Iron,6,27760,0
38690,155.08 ft,PVC,8,34700,0
38691,2.17 ft,PVC,8,36526,0
38692,159.19 ft,PVC,8,33604,0
38693,2.6 ft,PVC,6,36892,0
38694,14.91 ft,PVC,8,30682,0
38695,378.96 ft,PVC,8,36526,0
38696,50.56 ft,PVC,8,32509,0
38697,32.16 ft,PVC,6,31778,0
38698,17.36 ft,PVC,8,35431,0
38699,146.86 ft,PVC,6,36526,0
3870,7 ft,Cast Iron,6,28856,0
38700,225.17 ft,PVC,8,33604,0
38701,50.62 ft,PVC,8,30682,0
38702,97.57 ft,PVC,8,35796,0
38703,4.4 ft,PVC,6,33604,0
38704,9.43 ft,PVC,6,31048,0
38705,1.57 ft,PVC,8,31048,0
38706,25.04 ft,Ductile Iron,6,31413,0
38707,5 ft,Ductile Iron,6,31413,0
38708,4 ft,PVC,6,36526,0
38709,183.07 ft,Cast Iron,8,27760,0
3871,592.83 ft,PVC,8,33604,0
38710,93.46 ft,Reinforced Concrete Cylinder Pipe,24,25569,0
38711,82.28 ft,Ductile Iron,12,31534,0
38713,22.86 ft,PVC,8,35431,0
38714,13.26 ft,PVC,8,36892,0
38715,16.58 ft,PVC,8,36161,0
38716,32.27 ft,PVC,6,31413,0
38717,7.6 ft,Ductile Iron,6,31778,0
38718,7.16 ft,PVC,8,35796,0
38719,5 ft,PVC,6,30317,0
3872,61.03 ft,Cast Iron,6,27760,0
38720,143.28 ft,Cast Iron,6,25934,0
38722,5 ft,PVC,6,32874,0
38723,110.17 ft,PVC,8,34335,0
38724,12.25 ft,PVC,8,32874,0
38725,195.47 ft,PVC,8,36892,0
38726,38.1 ft,PVC,8,36526,0
38727,94.62 ft,PVC,8,35796,0
38728,5 ft,Ductile Iron,8,30682,0
38729,9.38 ft,PVC,6,33970,0
3873,141.62 ft,Cast Iron,10,27760,0
38730,27.45 ft,Ductile Iron,8,31048,0
38732,5 ft,PVC,6,36526,0
38733,21.52 ft,Cast Iron,6,31048,0
38734,21.85 ft,Ductile Iron,8,30317,0
38735,11.71 ft,Ductile Iron,8,30682,0
38736,248.38 ft,PVC,8,36161,0
38737,29.03 ft,Cast Iron,6,27395,0
38738,5 ft,PVC,6,34335,0
38739,47.42 ft,Cast Iron,6,28491,0
3874,4.42 ft,PVC,6,34700,0
38740,44.28 ft,Cast Iron,6,28126,0
38741,5 ft,Cast Iron,6,29587,0
38742,145 ft,PVC,8,31048,0
38743,3.5 ft,Cast Iron,6,28856,0
38744,5.47 ft,Cast Iron,6,24838,0
38745,8 ft,PVC,6,36526,0
38746,13.67 ft,PVC,8,36892,0
38747,5 ft,PVC,6,35065,0
38748,206.84 ft,Cast Iron,6,28856,0
38749,4 ft,Cast Iron,6,27760,0
3875,13.89 ft,PVC,4,36526,0
38750,13.16 ft,Ductile Iron,8,31413,0
38751,35.07 ft,PVC,6,31413,0
38752,66.08 ft,Ductile Iron,12,31413,0
38753,20.26 ft,PVC,8,35431,0
38754,294.95 ft,Reinforced Concrete Cylinder Pipe,16,31048,0
38755,603.96 ft,PVC,8,31048,0
38756,22.26 ft,PVC,8,34335,0
38757,5 ft,Ductile Iron,6,29587,0
38758,9.39 ft,PVC,8,36526,0
38759,24.8 ft,Ductile Iron,12,29587,0
3876,24.79 ft,PVC,8,33604,0
38760,69.08 ft,Cast Iron,8,27760,0
38761,23.4 ft,PVC,8,31048,0
38762,29.07 ft,Cast Iron,8,29952,0
38763,24.29 ft,PVC,8,33970,0
38764,15.76 ft,PVC,8,33970,0
38765,15.32 ft,Cast Iron,6,28491,0
38766,186.99 ft,PVC,12,33970,0
38767,9.08 ft,PVC,8,36526,0
38768,21.08 ft,PVC,8,35796,0
38769,5 ft,Ductile Iron,6,30682,0
3877,4 ft,PVC,6,33970,0
38770,23.03 ft,PVC,8,34700,0
38771,231.25 ft,Ductile Iron,18,31413,0
38772,5 ft,PVC,6,35431,0
38773,4 ft,PVC,6,36161,0
38776,5 ft,Ductile Iron,6,31534,0
38778,21.1 ft,Cast Iron,6,26665,0
38779,32.35 ft,Cast Iron,8,27760,0
3878,12.24 ft,PVC,4,35796,0
38780,19.54 ft,PVC,8,34700,0
38781,16.78 ft,PVC,8,36161,0
38782,5 ft,Ductile Iron,6,31413,0
38783,4.21 ft,Cast Iron,6,27760,0
38784,15.57 ft,PVC,8,35796,0
38785,13.57 ft,Ductile Iron,12,31413,0
38786,20.99 ft,PVC,12,35796,0
38787,19.14 ft,Cast Iron,6,29221,0
3879,16.31 ft,PVC,8,36526,0
38790,21.28 ft,Cast Iron,8,26665,0
38791,14.71 ft,PVC,6,34700,0
38792,57.9 ft,Cast Iron,6,28126,0
38794,12.1 ft,PVC,6,30682,0
38795,56.87 ft,PVC,8,31048,0
38796,19.49 ft,Ductile Iron,12,30682,0
38798,20.4 ft,PVC,12,34700,0
38799,9.84 ft,PVC,8,36297,0
388,9.97 ft,PVC,8,34700,0
3880,163.24 ft,Cast Iron,8,28491,0
38800,353.52 ft,PVC,6,30682,0
38801,10 ft,PVC,6,33920,0
38802,44.83 ft,PVC,8,36526,0
38803,153.64 ft,PVC,8,35065,0
38804,242.02 ft,PVC,6,35759,0
38805,307.87 ft,PVC,8,34436,0
38806,11.62 ft,PVC,8,33970,0
38807,5 ft,PVC,6,36892,0
38808,46.36 ft,PVC,8,35431,0
38809,4.2 ft,PVC,6,30682,0
3881,122.62 ft,Cast Iron,8,26299,0
38810,21.43 ft,Ductile Iron,8,29221,0
38811,33.4 ft,PVC,12,36526,0
38812,12.68 ft,PVC,12,36526,0
38813,4 ft,PVC,6,35065,0
38814,214.44 ft,Cast Iron,8,29952,0
38815,67.26 ft,Cast Iron,8,26665,0
38816,4 ft,Cast Iron,6,28491,0
38817,17.31 ft,PVC,12,35431,0
38818,27.56 ft,Cast Iron,12,22282,0
38819,40.87 ft,Cast Iron,6,22647,0
3882,240.2 ft,Reinforced Concrete Cylinder Pipe,24,29221,0
38820,72.56 ft,Cast Iron,6,27760,0
38821,56.66 ft,PVC,6,30682,0
38822,107.18 ft,PVC,8,35065,0
38823,11.61 ft,PVC,6,35796,0
38824,23.35 ft,PVC,8,35431,0
38825,6.44 ft,PVC,4,36526,0
38826,81.48 ft,PVC,8,36987,0
38827,58.42 ft,Cast Iron,8,27760,0
38828,14.35 ft,PVC,12,35796,0
38829,11.54 ft,PVC,6,33239,0
3883,172.86 ft,Ductile Iron,8,31048,0
38830,5.36 ft,PVC,10,33970,0
38831,7 ft,PVC,6,35796,0
38832,358.06 ft,PVC,8,36526,0
38833,209.94 ft,PVC,8,33604,0
38834,4.02 ft,PVC,6,34700,0
38835,4.32 ft,Cast Iron,6,26665,0
38836,17.61 ft,Cast Iron,6,28126,0
38837,4 ft,PVC,6,34700,0
38838,25.21 ft,Ductile Iron,8,30317,0
38839,48.8 ft,Ductile Iron,8,30682,0
38840,23.65 ft,Ductile Iron,6,31048,0
38841,10 ft,Ductile Iron,12,34249,0
38842,7.63 ft,PVC,6,34335,0
38843,32.29 ft,PVC,8,35065,0
38844,36.68 ft,Cast Iron,6,27760,0
38845,4 ft,Cast Iron,6,28126,0
38848,1461.11 ft,Cast Iron,14,20090,0
38849,32.62 ft,Ductile Iron,6,30317,0
3885,4.94 ft,PVC,8,31778,0
38850,4.79 ft,Ductile Iron,12,31632,0
38851,6.51 ft,PVC,6,33970,0
38852,4 ft,Cast Iron,6,27030,0
38853,12.45 ft,PVC,12,33970,0
38854,10.09 ft,PVC,8,36508,0
38855,5 ft,PVC,6,36161,0
38856,10.67 ft,PVC,8,34700,0
38857,20.55 ft,Ductile Iron,8,30317,0
38858,15.88 ft,PVC,8,36892,0
38859,89.95 ft,PVC,12,31048,0
3886,267.69 ft,PVC,8,35065,0
38861,15.97 ft,PVC,6,36161,0
38862,326.93 ft,PVC,8,33970,0
38863,5 ft,PVC,8,35431,0
38864,11.53 ft,PVC,8,35796,0
38865,24.36 ft,PVC,8,34700,0
38866,8.5 ft,PVC,8,33604,0
38867,184.32 ft,Ductile Iron,8,30317,0
38868,16.28 ft,PVC,8,30682,0
38869,98.46 ft,PVC,8,34022,0
3887,104.93 ft,PVC,8,35417,0
38870,4.68 ft,PVC,8,30682,0
38871,9.23 ft,PVC,8,36119,0
38873,58.73 ft,Reinforced Concrete Pipe,20,37257,0
38874,22.92 ft,PVC,8,31048,0
38876,45.37 ft,Cast Iron,6,24108,0
38879,14.55 ft,Ductile Iron,6,30682,0
3888,48.8 ft,PVC,8,35065,0
38880,24.96 ft,Cast Iron,6,27395,0
38881,150.36 ft,PVC,8,31413,0
38883,90.15 ft,Ductile Iron,12,31043,0
38884,134.24 ft,Cast Iron,8,29952,0
38885,55.18 ft,Ductile Iron,6,26665,0
38886,4 ft,PVC,6,35796,0
38887,146.71 ft,PVC,8,35796,0
38888,3.04 ft,PVC,8,36526,0
38889,11.78 ft,PVC,8,35431,0
