Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
MILL DAM DR,2043873,MILL STONE DR,HYMEADOW CIR,2019-06-13,SLCT6,1.0,,,,,,,MILL DAM DR,MILL DAM DR,,,,,,MILL STONE DR,MILL STONE DR,,,,,,HYMEADOW CIR,HYMEADOW CIR,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,MILL DAM DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1884,
MILL REEF CV,2032347,2900,RIVA RIDGE RD,2016-10-07,SLURRY,,,,,0.0,0.0,,,,,MILL REEF CV,MILL REEF CV,MILL REEF CV,,,,,2900,2900,2900,,,,,RIVA RIDGE RD,RIVA RIDGE RD,RIVA RIDGE RD,,,,,Residential,Residential,Residential,,,,,D,D,D,,,,,2021 Data,,,,,,,,MILL REEF CV,MILL REEF CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2863,
MILL STONE DR,2006802,MOORBERRY ST,ANDERSON VILLAGE DR,"2019-06-13, 2019-06-13","SLCT6, SLCT6",1.0,,,,,,,MILL STONE DR,MILL STONE DR,,,,,,MOORBERRY ST,MOORBERRY ST,,,,,,ANDERSON VILLAGE DR,ANDERSON VILLAGE DR,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,MILL STONE DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1884,0.0
MILTON ST W,2023681,2ND ST S,3RD ST S,"2017-06-28, 2017-06-28, 2017-06-28, 2017-06-28, 2017-06-28, 2017-06-28, 2017-06-28, 2019-01-10","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, PMOL",,,,,1.0,1.0,,,,,MILTON ST W,MILTON ST W,MILTON ST W,,,,,2ND ST S,2ND ST S,2ND ST S,,,,,3RD ST S,3RD ST S,3RD ST S,,,,,Residential,Residential,Residential,,,,,D,B,A,,,,,2021 Data,,,,,,,,W MILTON ST,W MILTON ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,8,2038,80.14285714285714
MINCH RD,5062071,ADAIR DR,CUL DE SAC,"2018-03-19, 2018-03-19","CRCKSL, CRCKSL",0.0,,,,,,,MINCH RD,MINCH RD,,,,,,ADAIR DR,ADAIR DR,,,,,,CUL DE SAC,CUL DE SAC,,,,,,Residential,Residential,,,,,,D,D,,,,,,,2020 Data,,,,,,MINCH RD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2335,0.0
MINDA CIR,2031585,11600,MINDA DR,2018-07-17,SLCT6,1.0,,,,,,,MINDA CIR,MINDA CIR,,,,,,11600,11600,,,,,,MINDA DR,MINDA DR,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,MINDA CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2215,
MINDA DR,2009865,MINDA CIR,AUSTIN PARK LN,"2018-07-17, 2018-07-17","SLCT6, SLCT6",1.0,,,,,,,MINDA DR,MINDA DR,,,,,,MINDA CIR,MINDA CIR,,,,,,AUSTIN PARK LN,AUSTIN PARK LN,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,MINDA DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2215,0.0
MINOT CIR,2025742,ESCABOSA DR,ESCABOSA DR,2018-06-13,SLCT6,,,,,1.0,1.0,,,,MINOT CIR,,MINOT CIR,MINOT CIR,,,,ESCABOSA DR,,ESCABOSA DR,ESCABOSA DR,,,,ESCABOSA DR,,ESCABOSA DR,ESCABOSA DR,,,,Residential,,Residential,Residential,,,,B,,B,C,,,,2022 Data,,,,,,,,,MINOT CIR,MINOT CIR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2249,
MIRAROSA DR,5078656,ESCARPMENT BLVD,MAGGIORE DR,2018-03-27,CRCKSL,,,,,1.0,1.0,,,,MIRAROSA DR,,MIRAROSA DR,MIRAROSA DR,,,,ESCARPMENT BLVD,,ESCARPMENT BLVD,ESCARPMENT BLVD,,,,MAGGIORE DR,,MAGGIORE DR,MAGGIORE DR,,,,Residential,,Residential,Residential,,,,A,,B,B,,,,2022 Data,,,,,,,,,MIRAROSA DR,MIRAROSA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2327,
MISS JULIE LN,3306545,DORSETT RD,ENCHANTED FOREST DR,2017-04-26,SLCT6,1.0,,,,,,,MISS JULIE LN,MISS JULIE LN,,,,,,DORSETT RD,DORSETT RD,,,,,,ENCHANTED FOREST DR,ENCHANTED FOREST DR,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,MISS JULIE LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2662,
MISSEL THRUSH CT,2030798,12100,MISSEL THRUSH DR,2019-05-20,SLCT6,1.0,,,,,,,MISSEL THRUSH CT,MISSEL THRUSH CT,,,,,,12100,12100,,,,,,MISSEL THRUSH DR,MISSEL THRUSH DR,,,,,,Residential,Residential,,,,,,C,D,,,,,,,2020 Data,,,,,,MISSEL THRUSH CT,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1908,
MISSEL THRUSH DR,2007191,ROBIN RIDGE LN,SCISSORTAIL DR,"2019-05-20, 2019-05-20, 2019-05-20, 2019-05-20","SLCT6, SLCT6, SLCT6, SLCT6",1.0,,,,,,,MISSEL THRUSH DR,MISSEL THRUSH DR,,,,,,ROBIN RIDGE LN,ROBIN RIDGE LN,,,,,,SCISSORTAIL DR,SCISSORTAIL DR,,,,,,Residential,Residential,,,,,,B,C,,,,,,,2020 Data,,,,,,MISSEL THRUSH DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,1908,0.0
MISSION OAKS BLVD,2026375,REPUBLIC OF TEXAS BLVD,SOUTHWEST PKWY,2018-09-21,FSMOL,,,,,1.0,1.0,,,,,MISSION OAKS BLVD,MISSION OAKS BLVD,MISSION OAKS BLVD,,,,,REPUBLIC OF TEXAS BLVD,REPUBLIC OF TEXAS BLVD,REPUBLIC OF TEXAS BLVD,,,,,SOUTHWEST PKWY,SOUTHWEST PKWY,SOUTHWEST PKWY,,,,,Collector,Collector,Collector,,,,,A,B,B,,,,,2021 Data,,,,,,,,MISSION OAKS BLVD,MISSION OAKS BLVD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2149,
MISSION RIDGE,2022544,KENWOOD AVE,CHELSEA LN,2018-10-10,CRCKSL,,,,,1.0,1.0,,,,,MISSION RIDGE,MISSION RIDGE,MISSION RIDGE,,,,,KENWOOD AVE,KENWOOD AVE,KENWOOD AVE,,,,,CHELSEA LN,CHELSEA LN,CHELSEA LN,,,,,Residential,Residential,Residential,,,,,C,B,B,,,,,2021 Data,,,,,,,,MISSION RIDGE,MISSION RIDGE,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2130,
MISTY BROOK CV,2030613,MISTY BROOK DR,4811,2018-05-02,PMOL,1.0,,,,,,,MISTY BROOK CV,MISTY BROOK CV,,,,,,MISTY BROOK DR,MISTY BROOK DR,,,,,,4811,4811,,,,,,Residential,Residential,,,,,,C,F,,,,,,,2020 Data,,,,,,MISTY BROOK CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2291,
MISTY BROOK DR,2006157,GYPSY CV,WHISPERING VALLEY DR,"2018-06-21, 2018-06-21, 2018-06-21","SLCT6, SLCT6, SLCT6",1.0,,,,,,,MISTY BROOK DR,MISTY BROOK DR,,,,,,GYPSY CV,GYPSY CV,,,,,,WHISPERING VALLEY DR,WHISPERING VALLEY DR,,,,,,Residential,Residential,,,,,,C,F,,,,,,,2020 Data,,,,,,MISTY BROOK DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,3,2241,0.0
MITRA DR,2048631,TERRANOVA CV,SUNDERA DR,"2017-04-06, 2017-04-06, 2017-04-06, 2017-04-06, 2017-04-06","SLURRY, SLURRY, SLURRY, SLURRY, SLURRY",,,,,1.0,1.0,,,,MITRA DR,,MITRA DR,MITRA DR,,,,TERRANOVA CV,,TERRANOVA CV,TERRANOVA CV,,,,SUNDERA DR,,SUNDERA DR,SUNDERA DR,,,,Residential,,Residential,Residential,,,,A,,B,B,,,,2022 Data,,,,,,,,,MITRA DR,MITRA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,2682,0.0
MOCCASIN PATH,2034822,SMOKEY HILL RD,HALESBORO DR,"2019-11-01, 2019-11-01, 2019-11-01, 2019-11-01","CRCKSL, CRCKSL, CRCKSL, CRCKSL",,,,,1.0,1.0,,,,MOCCASIN PATH,,MOCCASIN PATH,MOCCASIN PATH,,,,SMOKEY HILL RD,,SMOKEY HILL RD,SMOKEY HILL RD,,,,HALESBORO DR,,HALESBORO DR,HALESBORO DR,,,,Residential,,Residential,Residential,,,,B,,B,B,,,,2022 Data,,,,,,,,,MOCCASIN PATH,MOCCASIN PATH,,,,,,Dead End,Dead End,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,4,1743,0.0
MOCK CHERRY CV,2048586,GRIZZLY OAK DR,CUL DE SAC,2016-10-19,SLURRY,,,,,1.0,1.0,,,,MOCK CHERRY CV,,MOCK CHERRY CV,MOCK CHERRY CV,,,,GRIZZLY OAK DR,,GRIZZLY OAK DR,GRIZZLY OAK DR,,,,CUL DE SAC,,CUL DE SAC,CUL DE SAC,,,,Residential,,Residential,Residential,,,,D,,B,A,,,,2022 Data,,,,,,,,,MOCK CHERRY CV,MOCK CHERRY CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2851,
MOCKINGBIRD LN E,2024911,CONGRESS AVE S,WASSON RD,2018-10-29,CRCKSL,,,,,1.0,1.0,,,,MOCKINGBIRD LN E,,MOCKINGBIRD LN E,MOCKINGBIRD LN E,,,,CONGRESS AVE S,,CONGRESS AVE S,CONGRESS AVE S,,,,WASSON RD,,WASSON RD,WASSON RD,,,,Residential,,Residential,Residential,,,,F,,C,C,,,,2022 Data,,,,,,,,,E MOCKINGBIRD LN,E MOCKINGBIRD LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2111,
MOCKINGBIRD LN W,2024796,HUMMING BIRD LN,HARVEST LN,"2018-10-29, 2018-10-29, 2018-10-29","CRCKSL, CRCKSL, CRCKSL",,,,,0.0,0.0,,,,MOCKINGBIRD LN W,,MOCKINGBIRD LN W,MOCKINGBIRD LN W,,,,HUMMING BIRD LN,,HUMMING BIRD LN,HUMMING BIRD LN,,,,HARVEST LN,,HARVEST LN,HARVEST LN,,,,Residential,,Residential,Residential,,,,D,,F,F,,,,2022 Data,,,,,,,,,W MOCKINGBIRD LN,W MOCKINGBIRD LN,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2111,0.0
MONARCH DR,2025939,MARSH DR,CURLEW DR,"2018-06-23, 2018-06-23, 2018-06-23, 2018-06-23, 2018-06-23, 2018-06-23","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,0.0,0.0,,,,MONARCH DR,,MONARCH DR,MONARCH DR,,,,MARSH DR,,MARSH DR,MARSH DR,,,,CURLEW DR,,CURLEW DR,CURLEW DR,,,,Collector,,Collector,Collector,,,,D,,F,F,,,,2022 Data,,,,,,,,,MONARCH DR,MONARCH DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,6,2239,0.0
MONROE ST E,2022424,CONGRESS AVE S,NICKERSON ST,"2017-07-17, 2017-07-17, 2017-07-17, 2017-07-17, 2017-07-17","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5",,,,,0.0,0.0,,,,,MONROE ST E,MONROE ST E,MONROE ST E,,,,,CONGRESS AVE S,CONGRESS AVE S,CONGRESS AVE S,,,,,NICKERSON ST,NICKERSON ST,NICKERSON ST,,,,,Collector,Collector,Collector,,,,,F,D,D,,,,,2021 Data,,,,,,,,E MONROE ST,E MONROE ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,2580,0.0
MONROE ST W,2022398,NEWTON ST,ROMA ST,"2017-06-28, 2017-07-10, 2017-07-10, 2017-07-10, 2017-07-10","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5",,,,,0.0,0.0,,,,,MONROE ST W,MONROE ST W,MONROE ST W,,,,,NEWTON ST,NEWTON ST,NEWTON ST,,,,,ROMA ST,ROMA ST,ROMA ST,,,,,Collector,Collector,Collector,,,,,C,F,F,,,,,2021 Data,,,,,,,,W MONROE ST,W MONROE ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,2587,3.0
MONTANA SKY DR,2005715,UTAH FLATS DR,CHASEWOOD DR,"2018-07-17, 2018-07-17","SLCT6, SLCT6",1.0,,,,,,,MONTANA SKY DR,MONTANA SKY DR,,,,,,UTAH FLATS DR,UTAH FLATS DR,,,,,,CHASEWOOD DR,CHASEWOOD DR,,,,,,Residential,Residential,,,,,,C,A,,,,,,,2020 Data,,,,,,MONTANA SKY DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2215,0.0
MONTANA ST,2047893,LAWRENCE ST,VILLITA AVENIDA,"2018-08-01, 2018-08-01, 2018-08-01","SLCT6, SLCT6, SLCT6",,,,,0.0,0.0,,,,,MONTANA ST,MONTANA ST,MONTANA ST,,,,,LAWRENCE ST,LAWRENCE ST,LAWRENCE ST,,,,,VILLITA AVENIDA,VILLITA AVENIDA,VILLITA AVENIDA,,,,,Residential,Residential,Residential,,,,,F,F,F,,,,,2021 Data,,,,,,,,MONTANA ST,MONTANA ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2200,0.0
MONTE VISTA DR,2040459,MOUNT BARKER DR,MOUNT BARKER DR,2018-10-22,CRCKSL,1.0,,,,,,,MONTE VISTA DR,,,MONTE VISTA DR,,,,MOUNT BARKER DR,,,MOUNT BARKER DR,,,,MOUNT BARKER DR,,,MOUNT BARKER DR,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,MONTE VISTA DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2118,
MONTEBELLO CT,2021107,MONTEBELLO RD,2901,"2016-10-06, 2016-10-06, 2016-10-06","SLCT6, SLCT6, SLCT6",,,,,1.0,0.0,,,,,MONTEBELLO CT,MONTEBELLO CT,MONTEBELLO CT,,,,,MONTEBELLO RD,MONTEBELLO RD,MONTEBELLO RD,,,,,2901,2901,2901,,,,,Residential,Residential,Residential,,,,,F,C,D,,,,,2021 Data,,,,,,,,MONTEBELLO CT,MONTEBELLO CT,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2864,0.0
MONTEBELLO RD,3194719,2906,BEE CAVES RD,"2016-10-06, 2016-10-06, 2016-10-06, 2016-10-06, 2016-10-11","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2859,1.25
MONTEREY OAKS BLVD,2026557,4800,4828,"2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08, 2019-08-08","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,MONTEREY OAKS BLVD,,MONTEREY OAKS BLVD,MONTEREY OAKS BLVD,,,,4800,,4800,4800,,,,4828,,4828,4828,,,,Residential,,Residential,Residential,,,,A,,B,B,,,,2022 Data,,,,,,,,,MONTEREY OAKS BLVD,MONTEREY OAKS BLVD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,16,1828,0.0
MONTERREY PL,2009878,OAK TRL,OAK HAVEN RD,2017-07-19,SLCT6,1.0,,,,,,,MONTERREY PL,MONTERREY PL,,,,,,OAK TRL,OAK TRL,,,,,,OAK HAVEN RD,OAK HAVEN RD,,,,,,Residential,Residential,,,,,,C,C,,,,,,,2020 Data,,,,,,MONTERREY PL,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2578,
MONTEZUMA ST,2048613,AUTUMAN BAY DR,BRONCO BEND LOOP,"2018-08-06, 2018-08-06","SLCT6, SLCT6",,,,,1.0,0.0,,,,MONTEZUMA ST,,MONTEZUMA ST,MONTEZUMA ST,,,,AUTUMAN BAY DR,,AUTUMAN BAY DR,AUTUMAN BAY DR,,,,BRONCO BEND LOOP,,BRONCO BEND LOOP,BRONCO BEND LOOP,,,,Residential,,Residential,Residential,,,,C,,C,D,,,,2022 Data,,,,,,,,,MONTEZUMA ST,MONTEZUMA ST,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2195,0.0
MONTOPOLIS DR,2023183,3100,3218,"2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2018-12-15, 2019-02-14, 2019-02-14, 2019-02-14, 2019-02-14, 2019-02-14","CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, CRCKSL, STROL, STROL, STROL, STROL, STROL",,,,,0.0,0.0,,,,MONTOPOLIS DR,,MONTOPOLIS DR,MONTOPOLIS DR,,,,3100,,3100,3100,,,,3218,,3218,3218,,,,Arterial,,Arterial,Arterial,,,,C,,D,D,,,,2022 Data,,,,,,,,,MONTOPOLIS DR,MONTOPOLIS DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,16,2003,4.066666666666666
MONTOUR DR,3524014,NICOLE WAY,CAMBRIA COAST RUN,"2018-03-12, 2018-03-12, 2018-03-12, 2018-03-12","CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,MONTOUR DR,MONTOUR DR,,,,,,NICOLE WAY,NICOLE WAY,,,,,,CAMBRIA COAST RUN,CAMBRIA COAST RUN,,,,,,Residential,Residential,,,,,,C,A,,,,,,,2020 Data,,,,,,MONTOUR DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,4,2342,0.0
MONTWOOD TRL,2028028,SUNLAND DR,ALLWOOD PATH,"2019-08-07, 2019-08-07, 2019-08-07, 2019-08-07, 2019-08-07","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,MONTWOOD TRL,,MONTWOOD TRL,MONTWOOD TRL,,,,SUNLAND DR,,SUNLAND DR,SUNLAND DR,,,,ALLWOOD PATH,,ALLWOOD PATH,ALLWOOD PATH,,,,Residential,,Residential,Residential,,,,B,,B,A,,,,2022 Data,,,,,,,,,MONTWOOD TRL,MONTWOOD TRL,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,5,1829,0.0
MOON LARK CT,2032421,3700,WESTLAKE DR,2016-10-07,SLURRY,,,,,1.0,1.0,,,,,MOON LARK CT,MOON LARK CT,MOON LARK CT,,,,,3700,3700,3700,,,,,WESTLAKE DR,WESTLAKE DR,WESTLAKE DR,,,,,Residential,Residential,Residential,,,,,D,C,C,,,,,2021 Data,,,,,,,,MOON LARK CT,MOON LARK CT,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2863,
MOON SHADOW CV,2033671,4001,MOON SHADOW DR,"2017-05-02, 2017-05-02","SLCT6, SLCT6",,,,,0.0,0.0,,,,,MOON SHADOW CV,MOON SHADOW CV,MOON SHADOW CV,,,,,4001,4001,4001,,,,,MOON SHADOW DR,MOON SHADOW DR,MOON SHADOW DR,,,,,Residential,Residential,Residential,,,,,D,D,D,,,,,2021 Data,,,,,,,,MOON SHADOW CV,MOON SHADOW CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,2,2656,0.0
MOON SHADOW DR,2021354,MOON SHADOW CV,PAINTED SHIELD DR,"2017-05-03, 2017-05-03, 2017-05-03, 2017-05-03, 2017-05-03, 2017-05-03, 2017-05-03","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",,,,,1.0,1.0,,,,,MOON SHADOW DR,MOON SHADOW DR,MOON SHADOW DR,,,,,MOON SHADOW CV,MOON SHADOW CV,MOON SHADOW CV,,,,,PAINTED SHIELD DR,PAINTED SHIELD DR,PAINTED SHIELD DR,,,,,Residential,Residential,Residential,,,,,B,B,B,,,,,2021 Data,,,,,,,,MOON SHADOW DR,MOON SHADOW DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,7,2655,0.0
MOONGLOW DR,2016686,VIRGO LN,SANDSHOF DR,"2017-08-22, 2017-08-22","SLCT6, SLCT6",1.0,,,,,,,MOONGLOW DR,,,MOONGLOW DR,,,,VIRGO LN,,,VIRGO LN,,,,SANDSHOF DR,,,SANDSHOF DR,,,,Residential,,,Residential,,,,C,,,C,,,,,,,2021 Data,,,,MOONGLOW DR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2544,0.0
MOORBERRY ST,2043878,MILL STONE DR,MEADOWHEATH DR,"2019-06-10, 2019-06-10","SLCT6, SLCT6",1.0,,,,,,,MOORBERRY ST,MOORBERRY ST,,,,,,MILL STONE DR,MILL STONE DR,,,,,,MEADOWHEATH DR,MEADOWHEATH DR,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,MOORBERRY ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,1887,0.0
MOORE BLVD,2016983,GROOMS ST,WALLING DR,2019-01-08,CRCKSL,1.0,,,,,,,MOORE BLVD,,,MOORE BLVD,,,,GROOMS ST,,,GROOMS ST,,,,WALLING DR,,,WALLING DR,,,,Residential,,,Residential,,,,A,,,C,,,,,,,2021 Data,,,,MOORE BLVD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,2040,
MORADO CIR,2006550,MISTING FALLS TRL,JOLLYVILLE RD,"2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28, 2019-06-28","SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6, SLCT6",1.0,,,,,,,MORADO CIR,MORADO CIR,,,,,,MISTING FALLS TRL,MISTING FALLS TRL,,,,,,JOLLYVILLE RD,JOLLYVILLE RD,,,,,,Collector,Collector,,,,,,C,B,,,,,,,2020 Data,,,,,,MORADO CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,10,1869,0.0
MORADO CV,2030671,10300,MORADO CIR,2019-06-28,SLCT6,1.0,,,,,,,MORADO CV,MORADO CV,,,,,,10300,10300,,,,,,MORADO CIR,MORADO CIR,,,,,,Residential,Residential,,,,,,C,B,,,,,,,2020 Data,,,,,,MORADO CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1869,
MORAVIAN CV,2031725,8000,FOREST MESA DR,2019-02-25,FSMOL,0.0,,,,,,,MORAVIAN CV,MORAVIAN CV,,,,,,8000,8000,,,,,,FOREST MESA DR,FOREST MESA DR,,,,,,Residential,Residential,,,,,,D,D,,,,,,,2020 Data,,,,,,MORAVIAN CV,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,1,1992,
