Street Name,Segment ID,From Limit Street,To Limit Street,Maintenance Dates,Treatments,Street_Condition_2018.0,Street_Condition_2020.0,Street_Condition_2022.0,Street_Condition_2021.0,Street_Condition_2019.0,Street_Condition_2017.0,Street_Condition_2013.0,Street Name_2018.0,Street Name_2020.0,Street Name_2022.0,Street Name_2021.0,Street Name_2019.0,Street Name_2017.0,Street Name_2013.0,From Limit Street_2018.0,From Limit Street_2020.0,From Limit Street_2022.0,From Limit Street_2021.0,From Limit Street_2019.0,From Limit Street_2017.0,From Limit Street_2013.0,To Limit Street_2018.0,To Limit Street_2020.0,To Limit Street_2022.0,To Limit Street_2021.0,To Limit Street_2019.0,To Limit Street_2017.0,To Limit Street_2013.0,Functional Class_2018.0,Functional Class_2020.0,Functional Class_2022.0,Functional Class_2021.0,Functional Class_2019.0,Functional Class_2017.0,Functional Class_2013.0,Final_Grade_2018.0,Final_Grade_2020.0,Final_Grade_2022.0,Final_Grade_2021.0,Final_Grade_2019.0,Final_Grade_2017.0,Final_Grade_2013.0,Inspection ID_2018.0,Inspection ID_2020.0,Inspection ID_2022.0,Inspection ID_2021.0,Inspection ID_2019.0,Inspection ID_2017.0,Inspection ID_2013.0,Full Street Name from GIS_2018.0,Full Street Name from GIS_2020.0,Full Street Name from GIS_2022.0,Full Street Name from GIS_2021.0,Full Street Name from GIS_2019.0,Full Street Name from GIS_2017.0,Full Street Name from GIS_2013.0,Street End Type_2018.0,Street End Type_2020.0,Street End Type_2022.0,Street End Type_2021.0,Street End Type_2019.0,Street End Type_2017.0,Street End Type_2013.0,Main. Agency_2018.0,Main. Agency_2020.0,Main. Agency_2022.0,Main. Agency_2021.0,Main. Agency_2019.0,Main. Agency_2017.0,Main. Agency_2013.0,Pavement Type_2018.0,Pavement Type_2020.0,Pavement Type_2022.0,Pavement Type_2021.0,Pavement Type_2019.0,Pavement Type_2017.0,Pavement Type_2013.0,Year_2018.0,Year_2020.0,Year_2022.0,Year_2021.0,Year_2019.0,Year_2017.0,Year_2013.0,Number of Maintenance Events,Days Since Last Maintenance,Average Time Between Maintenances
ADEL CV,2034352,YELLOW ROSE TRL,6215,2018-05-22,SLCT6,,,,,1.0,1.0,,,,ADEL CV,,ADEL CV,ADEL CV,,,,YELLOW ROSE TRL,,YELLOW ROSE TRL,YELLOW ROSE TRL,,,,6215,,6215,6215,,,,Residential,,Residential,Residential,,,,C,,B,B,,,,2022 Data,,,,,,,,,ADEL CV,ADEL CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2271,
ADELPHI LN,2039122,AMHERST DR,CORONET ST,"2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2017-05-13, 2018-12-16, 2018-12-16, 2018-12-16, 2018-12-16","SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, SLCT5, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,ADELPHI LN,ADELPHI LN,,,,,,AMHERST DR,AMHERST DR,,,,,,CORONET ST,CORONET ST,,,,,,Collector,Collector,,,,,,C,B,,,,,,,2020 Data,,,,,,ADELPHI LN,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,14,2063,44.76923076923077
AFFIRMED DR,2036644,MANOWAR STRETCH DR,THUNDER GULCH DR,2019-09-17,LUSLCT6,,,,,0.0,0.0,,,,AFFIRMED DR,,AFFIRMED DR,AFFIRMED DR,,,,MANOWAR STRETCH DR,,MANOWAR STRETCH DR,MANOWAR STRETCH DR,,,,THUNDER GULCH DR,,THUNDER GULCH DR,THUNDER GULCH DR,,,,Residential,,Residential,Residential,,,,D,,D,D,,,,2022 Data,,,,,,,,,AFFIRMED DR,AFFIRMED DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,1788,
AFTONSHIRE WAY,2042077,NIGHTJAR DR,WEST GATE BLVD,"2017-05-27, 2017-05-27, 2017-05-27, 2017-05-27","SLCT5, SLCT5, SLCT5, SLCT5",,,,,0.0,1.0,,,,AFTONSHIRE WAY,,AFTONSHIRE WAY,AFTONSHIRE WAY,,,,NIGHTJAR DR,,NIGHTJAR DR,NIGHTJAR DR,,,,WEST GATE BLVD,,WEST GATE BLVD,WEST GATE BLVD,,,,Collector,,Collector,Collector,,,,C,,D,C,,,,2022 Data,,,,,,,,,AFTONSHIRE WAY,AFTONSHIRE WAY,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,4,2631,0.0
AGATHA CIR,2017601,SENDERO HILLS PKWY,SENDERO HILLS PKWY,"2016-10-18, 2016-10-18","SLCT6, SLCT6",1.0,,,,,,,AGATHA CIR,,,AGATHA CIR,,,,SENDERO HILLS PKWY,,,SENDERO HILLS PKWY,,,,SENDERO HILLS PKWY,,,SENDERO HILLS PKWY,,,,Residential,,,Residential,,,,C,,,B,,,,,,,2021 Data,,,,AGATHA CIR,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,2,2852,0.0
AIRPORT BLVD,2016593,4400,4414,"2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2018-03-16, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29, 2019-07-29","STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, STROL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL, FSMOL",0.0,,,,,,,AIRPORT BLVD,,,AIRPORT BLVD,,,,4400,,,4400,,,,4414,,,4414,,,,Arterial,,,Arterial,,,,D,,,A,,,,,,,2021 Data,,,,AIRPORT BLVD,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,26,1838,20.0
ALAMO ST,2018150,14TH ST E,16TH ST E,"2016-11-14, 2018-07-25, 2018-07-25, 2018-07-25, 2019-01-07, 2019-01-07, 2019-01-07, 2019-01-07","PMOL, SLCT6, SLCT6, SLCT6, CRCKSL, CRCKSL, CRCKSL, CRCKSL",1.0,,,,,,,ALAMO ST,,,ALAMO ST,,,,14TH ST E,,,14TH ST E,,,,16TH ST E,,,16TH ST E,,,,Residential,,,Residential,,,,B,,,D,,,,,,,2021 Data,,,,ALAMO ST,,,,,,,,,,,,,,Austin,,,,,,,Flexible,,,,,,,1/1/2018 0:00,,,,,,,8,2041,112.0
ALBERT RD,2025554,DAMON RD,SHERWOOD RD,"2018-11-01, 2018-11-01, 2018-11-01","CRCKSL, CRCKSL, CRCKSL",,,,,0.0,0.0,,,,ALBERT RD,,ALBERT RD,ALBERT RD,,,,DAMON RD,,DAMON RD,DAMON RD,,,,SHERWOOD RD,,SHERWOOD RD,SHERWOOD RD,,,,Residential,,Residential,Residential,,,,A,,D,D,,,,2022 Data,,,,,,,,,ALBERT RD,ALBERT RD,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2108,0.0
ALCANZA DR,2048630,CUL DE SAC,MITRA DR,"2016-10-18, 2016-10-18, 2016-10-18","SLURRY, SLURRY, SLURRY",,,,,1.0,1.0,,,,ALCANZA DR,,ALCANZA DR,ALCANZA DR,,,,CUL DE SAC,,CUL DE SAC,CUL DE SAC,,,,MITRA DR,,MITRA DR,MITRA DR,,,,Residential,,Residential,Residential,,,,C,,C,C,,,,2022 Data,,,,,,,,,ALCANZA DR,ALCANZA DR,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,3,2852,0.0
ALCOTT CV,2035191,10100,ALCOTT LN,2016-10-06,SLURRY,,,,,0.0,0.0,,,,ALCOTT CV,,ALCOTT CV,ALCOTT CV,,,,10100,,10100,10100,,,,ALCOTT LN,,ALCOTT LN,ALCOTT LN,,,,Residential,,Residential,Residential,,,,F,,F,D,,,,2022 Data,,,,,,,,,ALCOTT CV,ALCOTT CV,,,,,,,,,,,,,Austin,Austin,,,,,,Flexible,Flexible,,,,,,1/1/2019 0:00,1/1/2017 0:00,,1,2864,
